ref_char,hyp_char,count,is_recurring
个,個,3,yes
点,點,3,yes
间,間,2,yes
解,节,2,yes
起,期,2,yes
早,走,2,yes
让,讓,1,no
时,時,1,no
里,裡,1,no
拥,擁,1,no
抖,倒,1,no
稍,收,1,no
微,一,1,no
释,视,1,no
刚,光,1,no
晚,誠,1,no
睡,》,1,no
好,沒,1,no
夜,完,1,no
了,畢,1,no
睡,税,1,no
起,税,1,no
立,健,1,no
方,康,1,no
式,就,1,no
總,咱,1,no
晚,點,1,no
一,遺,1,no
致,治,1,no
給,跟,1,no
擠,解,1,no
我,釋,1,no
是,什,1,no
不,么,1,no
是,都,1,no
多,要,1,no
两,了,1,no
个,吗,1,no
式,是,1,no
它,他,1,no
缓,环,1,no
没,沒,1,no
问,問,1,no
题,題,1,no
 ,",",1,no
着,著,1,no
谓,嘴,1,no
起,洗,1,no
帅,稅,1,no
班,半,1,no
这,這,1,no
么,麼,1,no
额,恶,1,no
外,爱,1,no
睡,.,1,no
起,左,1,no
午,右,1,no
日,只,1,no
常,长,1,no
時,时,1,no
間,间,1,no
沒,没,1,no
錯,错,1,no
了,的,1,no
