threshold,in_sample_cpwer,in_sample_compute,in_sample_frac,cpwer_median,cpwer_ci_lo,cpwer_ci_hi,compute_median,compute_ci_lo,compute_ci_hi,frac_median,cpwer_dominance_frac,pareto_2d_dominance_frac,h46a_ok,h46b_ok,h46c_ok
0.0,0.777525,1.772987,0.831169,0.776094,0.705631,0.853188,1.772987,1.688442,1.845455,0.831169,1.0,0.0,True,True,True
0.5,0.777525,1.772987,0.831169,0.776094,0.705631,0.853188,1.772987,1.688442,1.845455,0.831169,1.0,0.0,True,True,True
1.0,0.777525,1.772987,0.831169,0.776094,0.705631,0.853188,1.772987,1.688442,1.845455,0.831169,1.0,0.0,True,True,True
1.5,0.777525,1.772987,0.831169,0.776094,0.705631,0.853188,1.772987,1.688442,1.845455,0.831169,1.0,0.0,True,True,True
2.0,0.777525,1.772987,0.831169,0.776094,0.705631,0.853188,1.772987,1.688442,1.845455,0.831169,1.0,0.0,True,True,True
2.5,0.777525,1.772987,0.831169,0.776094,0.705631,0.853188,1.772987,1.688442,1.845455,0.831169,1.0,0.0,True,True,True
3.0,0.794857,1.760909,0.818182,0.793365,0.712223,0.877876,1.760909,1.676364,1.833377,0.818182,1.0,0.0,True,True,True
3.3,0.888947,1.688442,0.74026,0.887777,0.767399,1.016343,1.688442,1.591818,1.772987,0.74026,1.0,0.0,True,True,True
3.5,1.06289,1.555584,0.597403,1.057936,0.901514,1.23265,1.555584,1.458961,1.652208,0.597403,1.0,0.0,True,True,True
4.0,1.394063,1.229481,0.246753,1.392821,1.21007,1.597415,1.229481,1.144935,1.326104,0.246753,0.969,0.0,False,True,True
4.5,1.505485,1.108701,0.116883,1.502128,1.327765,1.706612,1.108701,1.048312,1.181169,0.116883,0.8245,0.0,False,True,False
5.0,1.550054,1.06039,0.064935,1.548591,1.372374,1.742566,1.06039,1.012078,1.120779,0.064935,0.689,0.003,False,True,False
5.5,1.550054,1.06039,0.064935,1.548591,1.372374,1.742566,1.06039,1.012078,1.120779,0.064935,0.689,0.003,False,True,False
6.0,1.550054,1.06039,0.064935,1.548591,1.372374,1.742566,1.06039,1.012078,1.120779,0.064935,0.689,0.003,False,True,False
