router,n,theta_hat,oracle_point,effect_size,bca_ci_lo,bca_ci_hi,bca_width,pct_ci_lo,pct_ci_hi,pct_width,bca_lower_above_oracle,oracle_inside_bca_ci
lang_id_corrected,77,1.04329,1.017316,0.025974,1.012987,1.097403,0.084416,1.008658,1.088745,0.080087,False,True
lang_id_corrected,80,1.04329,1.017316,0.025974,1.0125,1.1,0.0875,1.010417,1.0875,0.077083,False,True
lang_id_corrected,85,1.04329,1.017316,0.025974,1.015686,1.101961,0.086275,1.009804,1.086275,0.076471,False,True
lang_id_corrected,90,1.04329,1.017316,0.025974,1.016667,1.1,0.083333,1.011111,1.085185,0.074074,False,True
lang_id_corrected,95,1.04329,1.017316,0.025974,1.015789,1.094737,0.078947,1.010526,1.084211,0.073684,False,True
lang_id_corrected,100,1.04329,1.017316,0.025974,1.016667,1.093171,0.076504,1.013333,1.083333,0.07,False,True
lang_id_corrected,105,1.04329,1.017316,0.025974,1.019048,1.095238,0.07619,1.012698,1.080952,0.068254,True,False
lang_id_corrected,110,1.04329,1.017316,0.025974,1.018182,1.090909,0.072727,1.013636,1.080303,0.066667,True,False
lang_id_corrected,120,1.04329,1.017316,0.025974,1.019444,1.090278,0.070833,1.015278,1.079167,0.063889,True,False
lang_id_corrected,130,1.04329,1.017316,0.025974,1.019231,1.085897,0.066667,1.015385,1.076923,0.061538,True,False
lang_id_corrected,140,1.04329,1.017316,0.025974,1.021429,1.086905,0.065476,1.016667,1.07619,0.059524,True,False
lang_id_corrected,154,1.04329,1.017316,0.025974,1.021645,1.083074,0.061429,1.018398,1.074675,0.056277,True,False
lang_id_corrected,175,1.04329,1.017316,0.025974,1.022857,1.08,0.057143,1.019048,1.072381,0.053333,True,False
lang_id_corrected,200,1.04329,1.017316,0.025974,1.023333,1.075934,0.052601,1.020833,1.07,0.049167,True,False
lang_id_corrected,225,1.04329,1.017316,0.025974,1.025185,1.074815,0.04963,1.021481,1.068889,0.047407,True,False
lang_id_corrected,250,1.04329,1.017316,0.025974,1.025333,1.072667,0.047333,1.022667,1.067333,0.044667,True,False
lang_id_corrected,275,1.04329,1.017316,0.025974,1.026667,1.072064,0.045398,1.023636,1.065455,0.041818,True,False
lang_id_corrected,308,1.04329,1.017316,0.025974,1.027056,1.070346,0.04329,1.024351,1.064935,0.040584,True,False
lang_id_corrected,350,1.04329,1.017316,0.025974,1.027619,1.068095,0.040476,1.025238,1.063333,0.038095,True,False
lang_id_corrected,400,1.04329,1.017316,0.025974,1.02875,1.065833,0.037083,1.027083,1.061667,0.034583,True,False
lang_id_corrected,500,1.04329,1.017316,0.025974,1.030667,1.063333,0.032667,1.028667,1.06,0.031333,True,False
lang_id_corrected,616,1.04329,1.017316,0.025974,1.031656,1.061959,0.030303,1.029491,1.058171,0.02868,True,False
