bootstrap_id,threshold,n_in_bag,n_oob,n_oob_flagged_mixed,n_oob_separated,oob_cpwer
0,0.38,77,30,17,13,1.044444
1,0.33,77,31,17,14,1.043011
2,0.33,77,33,17,16,1.060606
3,0.84,77,30,10,20,1.061111
4,0.33,77,28,11,17,1.047619
5,0.38,77,30,15,15,1.016667
6,0.38,77,27,11,16,1.055556
7,0.38,77,27,13,14,1.055556
8,0.38,77,26,11,15,1.038462
9,0.38,77,28,13,15,1.089286
10,0.33,77,29,17,12,1.034483
11,0.38,77,27,15,12,1.049383
12,0.87,77,32,11,21,1.072917
13,0.38,77,27,12,15,1.074074
14,0.38,77,28,11,17,1.0
15,0.38,77,25,13,12,1.0
16,0.38,77,29,14,15,1.011494
17,0.38,77,26,12,14,1.0
18,0.38,77,29,12,17,1.068966
19,0.38,77,26,16,10,1.0
20,0.33,77,24,13,11,1.055556
21,0.87,77,30,12,18,1.066667
22,0.33,77,26,15,11,1.070513
23,0.38,77,25,12,13,1.0
24,0.38,77,27,16,11,1.030864
25,0.38,77,31,18,13,1.026882
26,0.87,77,27,7,20,1.012346
27,0.38,77,31,16,15,1.05914
28,0.38,77,29,15,14,1.017241
29,0.87,77,23,10,13,1.086957
30,0.01,77,26,12,14,1.115385
31,0.38,77,29,17,12,1.051724
32,0.33,77,29,18,11,1.017241
33,0.38,77,28,17,11,1.011905
34,0.38,77,30,14,16,1.066667
35,0.38,77,25,16,9,1.1
36,0.01,77,32,20,12,1.119792
37,0.38,77,28,15,13,1.053571
38,0.38,77,29,15,14,1.103448
39,0.38,77,29,17,12,1.017241
40,0.38,77,28,12,16,1.047619
41,0.87,77,30,7,23,1.144444
42,0.38,77,29,18,11,1.028736
43,0.38,77,32,18,14,1.015625
44,0.38,77,22,14,8,1.022727
45,0.38,77,28,14,14,1.047619
46,0.33,77,28,15,13,1.035714
47,0.38,77,25,10,15,1.04
48,0.87,77,29,9,20,1.086207
49,0.38,77,28,15,13,1.10119
50,0.38,77,24,12,12,1.083333
51,0.38,77,31,16,15,1.091398
52,0.95,77,26,9,17,1.160256
53,0.01,77,28,18,10,1.107143
54,0.87,77,23,9,14,1.021739
55,0.38,77,30,22,8,1.066667
56,0.87,77,25,12,13,1.08
57,0.87,77,30,13,17,1.144444
58,0.38,77,25,14,11,1.053333
59,0.01,77,31,19,12,1.112903
60,0.01,77,34,21,13,1.088235
61,0.87,77,25,8,17,1.086667
62,0.38,77,31,13,18,1.016129
63,0.38,77,26,12,14,1.051282
64,0.38,77,29,14,15,1.028736
65,0.33,77,24,12,12,1.020833
66,0.87,77,26,10,16,1.160256
67,0.38,77,27,16,11,1.030864
68,0.38,77,26,9,17,1.019231
