window_id,overlap_ratio,overlap_label,num_speakers,router_v2_method,lang_id_entropy,lang_id_flag,corrected_decision,always_mixed_char,always_separated_char,corrected_router_char,oracle_char,router_v2_char,residual_corrected_minus_oracle,is_mode_s,separated_char_errors,separated_char_length,mixed_char_errors,mixed_char_length
0,0.0,NoOverlap,6,separated,1.553509,True,mixed,0.963636,1.645455,0.963636,0.963636,1.645455,0.0,False,181,110,106,110
1,0.0,NoOverlap,1,separated,0.0,False,separated,0.80625,1.0,1.0,0.80625,1.0,0.19375,False,-1,-1,129,160
2,0.0,NoOverlap,1,separated,0.0,False,separated,0.663793,0.663793,0.663793,0.663793,0.663793,0.0,False,77,116,77,116
3,0.0,NoOverlap,1,separated,0.0,False,separated,0.722543,0.67052,0.67052,0.67052,0.67052,0.0,False,116,173,125,173
4,0.0,NoOverlap,1,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
5,0.0,NoOverlap,1,separated,0.490342,True,mixed,0.777778,0.951389,0.777778,0.777778,0.951389,0.0,False,137,144,112,144
6,0.0,NoOverlap,2,separated,0.0,False,separated,0.815951,0.846626,0.846626,0.815951,0.846626,0.030675,False,138,163,133,163
7,0.0,NoOverlap,1,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
8,0.0,NoOverlap,1,mixed,0.322757,False,separated,0.960784,0.95098,0.95098,0.95098,0.960784,0.0,False,97,102,98,102
9,0.0,NoOverlap,1,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
10,0.0,NoOverlap,1,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
11,0.0,NoOverlap,1,mixed,0.563285,True,mixed,1.0,0.693989,1.0,0.693989,1.0,0.306011,False,127,183,-1,-1
12,0.0,NoOverlap,1,separated,0.0,False,separated,0.691781,0.691781,0.691781,0.691781,0.691781,0.0,False,101,146,101,146
13,0.0,NoOverlap,1,mixed,0.0,False,separated,1.0,1.0,1.0,1.0,1.0,0.0,False,-1,-1,-1,-1
14,0.0209,NoOverlap,2,separated,0.373609,False,separated,0.871508,0.865922,0.865922,0.865922,0.865922,0.0,False,155,179,156,179
15,0.0,NoOverlap,2,mixed,0.0,False,separated,1.0,0.994536,0.994536,0.994536,1.0,0.0,False,182,183,-1,-1
16,0.1008,LightOverlap,2,mixed,0.0,False,separated,1.0,0.960396,0.960396,0.960396,1.0,0.0,False,194,202,-1,-1
