sample_id,tier,overlap_ratio,speaker,speaker_label,llm_valence,llm_arousal,lexical_valence,lexical_arousal,acoustic_arousal,target_emotion_distortion,target_semantic_distortion
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,0.5,1,con,0.2,0.1,0.0,0.0,2.278674,2.062986,0.632456
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,0.5,2,pro,0.2,0.1,0.0,0.0,2.278674,2.32143,0.447214
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,0.5,1,con,-0.8,0.5,0.0,0.0,1.463331,1.887729,0.824621
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,0.5,2,pro,-0.8,0.5,0.0,0.0,1.463331,1.972306,1.612452
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,0.5,1,con,0.5,0.6,0.0,0.0,1.71047,1.932826,0.424264
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,0.5,2,pro,0.5,0.6,0.0,0.0,1.71047,2.050262,0.781025
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,0.5,1,con,-0.5,0.0,0.0,0.0,2.141776,2.322442,0.5
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,0.5,2,pro,-0.5,0.0,0.0,0.0,2.141776,2.418046,0.5
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,0.5,1,con,1.0,0.5,0.0,0.0,1.406618,2.141256,0.943398
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,0.5,2,pro,1.0,0.5,0.0,0.0,1.406618,2.064668,1.334166
SyntheticLightOverlap_01,SyntheticLightOverlap,0.1,1,con,0.0,0.0,0.0,0.0,1.649913,1.913026,0.8544
SyntheticLightOverlap_01,SyntheticLightOverlap,0.1,2,pro,0.0,0.0,0.0,0.0,1.649913,2.072977,0.360555
SyntheticLightOverlap_02,SyntheticLightOverlap,0.1,1,con,-0.5,0.0,0.0,0.0,1.444296,1.941515,0.583095
SyntheticLightOverlap_02,SyntheticLightOverlap,0.1,2,pro,-0.5,0.0,0.0,0.0,1.444296,2.082992,1.334166
SyntheticLightOverlap_03,SyntheticLightOverlap,0.1,1,con,0.0,0.0,0.208514,0.0,1.72636,1.988564,0.360555
SyntheticLightOverlap_03,SyntheticLightOverlap,0.1,2,pro,0.0,0.0,0.208514,0.0,1.72636,1.999142,0.0
SyntheticLightOverlap_04,SyntheticLightOverlap,0.1,1,con,0.2,0.1,0.0,0.0,2.205043,2.304758,0.223607
SyntheticLightOverlap_04,SyntheticLightOverlap,0.1,2,pro,0.2,0.1,0.0,0.0,2.205043,2.394077,0.223607
SyntheticLightOverlap_05,SyntheticLightOverlap,0.1,1,con,-0.7,0.4,0.0,0.0,1.469543,2.142905,0.984886
SyntheticLightOverlap_05,SyntheticLightOverlap,0.1,2,pro,-0.7,0.4,0.0,0.0,1.469543,2.07559,0.447214
SyntheticMidOverlap_01,SyntheticMidOverlap,0.3,1,con,-0.5,0.8,0.0,0.0,1.654608,1.888469,1.392839
SyntheticMidOverlap_01,SyntheticMidOverlap,0.3,2,pro,-0.5,0.8,0.0,0.0,1.654608,2.053854,0.583095
SyntheticMidOverlap_02,SyntheticMidOverlap,0.3,1,con,-0.5,0.0,0.0,0.0,1.453561,1.918668,0.583095
SyntheticMidOverlap_02,SyntheticMidOverlap,0.3,2,pro,-0.5,0.0,0.0,0.0,1.453561,2.069235,1.334166
SyntheticMidOverlap_03,SyntheticMidOverlap,0.3,1,con,0.5,0.3,0.213201,0.0,1.685239,1.973309,0.3
SyntheticMidOverlap_03,SyntheticMidOverlap,0.3,2,pro,0.5,0.3,0.213201,0.0,1.685239,2.092698,0.583095
SyntheticMidOverlap_04,SyntheticMidOverlap,0.3,1,con,0.2,0.0,0.0,0.0,2.180108,2.320932,0.2
SyntheticMidOverlap_04,SyntheticMidOverlap,0.3,2,pro,0.2,0.0,0.0,0.0,2.180108,2.413199,0.2
SyntheticMidOverlap_05,SyntheticMidOverlap,0.3,1,con,-0.5,0.6,0.0,0.0,1.405226,2.160463,0.921954
SyntheticMidOverlap_05,SyntheticMidOverlap,0.3,2,pro,-0.5,0.6,0.0,0.0,1.405226,2.092909,0.447214
SyntheticNoOverlap_01,SyntheticNoOverlap,0.0,1,con,-0.3,0.2,0.0,0.0,1.669962,1.861217,1.104536
SyntheticNoOverlap_01,SyntheticNoOverlap,0.0,2,pro,-0.3,0.2,0.0,0.0,1.669962,1.966751,0.141421
SyntheticNoOverlap_02,SyntheticNoOverlap,0.0,1,con,-0.5,0.0,0.0,0.0,1.69712,1.668849,0.583095
SyntheticNoOverlap_02,SyntheticNoOverlap,0.0,2,pro,-0.5,0.0,0.0,0.0,1.69712,1.856705,1.334166
SyntheticNoOverlap_03,SyntheticNoOverlap,0.0,1,con,0.0,0.0,0.242536,0.0,3.69219,0.596026,0.360555
SyntheticNoOverlap_03,SyntheticNoOverlap,0.0,2,pro,0.0,0.0,0.242536,0.0,3.69219,0.95469,0.0
SyntheticNoOverlap_04,SyntheticNoOverlap,0.0,1,con,0.0,0.0,0.0,0.0,4.141614,1.193337,0.0
SyntheticNoOverlap_04,SyntheticNoOverlap,0.0,2,pro,0.0,0.0,0.0,0.0,4.141614,1.413807,0.0
SyntheticNoOverlap_05,SyntheticNoOverlap,0.0,1,con,0.2,0.3,0.0,0.0,3.612584,0.613371,0.3
SyntheticNoOverlap_05,SyntheticNoOverlap,0.0,2,pro,0.2,0.3,0.0,0.0,3.612584,0.461707,0.509902
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,0.8,1,con,-0.5,0.3,0.0,0.0,2.314218,2.070669,1.3
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,0.8,2,pro,-0.5,0.3,0.0,0.0,2.314218,2.324851,0.3
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,0.8,1,con,-0.1,0.2,0.0,0.0,1.520221,1.853542,0.141421
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,0.8,2,pro,-0.1,0.2,0.0,0.0,1.520221,1.970817,0.905539
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,0.8,1,con,0.0,0.0,0.0,0.0,1.670659,1.885025,0.360555
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,0.8,2,pro,0.0,0.0,0.0,0.0,1.670659,1.995988,0.0
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,0.8,1,con,0.2,0.1,0.0,0.0,1.583461,2.020752,0.223607
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,0.8,2,pro,0.2,0.1,0.0,0.0,1.583461,2.089697,0.223607
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,0.8,1,con,0.2,0.3,0.0,0.0,1.373371,2.135115,0.3
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,0.8,2,pro,0.2,0.3,0.0,0.0,1.373371,0.593934,0.509902
