resample,kl_threshold,lang_threshold,oob_cpwer_or,oob_cpwer_and,n_oob,n_escalated_oob_or,n_escalated_oob_and,oob_fraction,escalation_fraction_oob_or,escalation_fraction_oob_and
0,inf,0.38,1.011218,1.738889,30,17,0,0.38961,0.566667,0.0
1,6.553912,0.33,0.912972,0.986774,31,18,15,0.402597,0.580645,0.483871
2,12.346379,0.33,0.903075,1.00707,33,19,15,0.428571,0.575758,0.454545
3,12.346379,0.84,0.932913,1.015531,30,12,9,0.38961,0.4,0.3
4,5.403694,0.33,0.898777,1.000914,28,13,9,0.363636,0.464286,0.321429
5,4.535726,0.38,0.883955,0.922086,30,17,15,0.38961,0.566667,0.5
6,5.403694,0.38,0.921403,1.006139,27,14,11,0.350649,0.518519,0.407407
7,5.403694,0.38,0.942447,1.027183,27,16,13,0.350649,0.592593,0.481481
8,6.553912,0.38,0.974724,1.018722,26,12,11,0.337662,0.461538,0.423077
9,6.553912,0.38,0.983993,1.08613,28,16,13,0.363636,0.571429,0.464286
10,12.346379,0.33,0.904553,0.963722,29,17,14,0.376623,0.586207,0.482759
11,5.403694,0.38,0.910694,0.974246,27,17,15,0.350649,0.62963,0.555556
12,5.403694,0.87,0.90124,1.05019,32,17,11,0.415584,0.53125,0.34375
13,4.307418,0.38,0.869787,0.996891,27,16,12,0.350649,0.592593,0.444444
14,12.346379,0.38,0.91288,0.953734,28,11,9,0.363636,0.392857,0.321429
15,4.535726,0.38,0.903701,0.926579,25,14,13,0.324675,0.56,0.52
16,5.418144,0.38,0.937849,0.977295,29,15,13,0.376623,0.517241,0.448276
17,12.998437,0.38,0.937683,1.025678,26,12,10,0.337662,0.461538,0.384615
18,5.403694,0.38,0.89357,0.972462,29,15,12,0.376623,0.517241,0.413793
19,6.553912,0.38,0.990993,1.012992,26,16,15,0.337662,0.615385,0.576923
20,6.553912,0.33,0.890771,0.986099,24,14,11,0.311688,0.583333,0.458333
21,inf,0.87,1.070918,1.611111,30,12,0,0.38961,0.4,0.0
22,6.553912,0.33,0.904564,0.992559,26,16,13,0.337662,0.615385,0.5
23,5.418144,0.38,0.990834,0.990834,25,12,12,0.324675,0.48,0.48
24,5.418144,0.38,1.005859,1.005859,27,16,16,0.350649,0.592593,0.592593
25,6.553912,0.38,0.921026,0.939477,31,18,17,0.402597,0.580645,0.548387
26,12.346379,0.87,0.946783,0.975029,27,8,7,0.350649,0.296296,0.259259
27,4.535726,0.38,0.91289,1.005143,31,20,16,0.402597,0.645161,0.516129
28,5.403694,0.38,0.903323,0.962492,29,17,14,0.376623,0.586207,0.482759
29,5.403694,0.87,0.955755,1.117398,23,15,10,0.298701,0.652174,0.434783
30,6.553912,0.01,0.860857,0.926853,26,12,9,0.337662,0.461538,0.346154
31,5.418144,0.38,0.895856,0.974749,29,19,16,0.376623,0.655172,0.551724
32,4.307418,0.33,0.844197,0.883644,29,19,17,0.376623,0.655172,0.586207
33,12.998437,0.38,0.901144,0.962427,28,17,16,0.363636,0.607143,0.571429
34,6.553912,0.38,1.013638,1.070834,30,15,13,0.38961,0.5,0.433333
35,5.418144,0.38,0.91206,1.026453,25,18,15,0.324675,0.72,0.6
36,12.346379,0.01,0.92453,0.996026,32,20,16,0.415584,0.625,0.5
37,12.346379,0.38,0.957241,1.038951,28,16,13,0.363636,0.571429,0.464286
38,13.781795,0.38,1.036334,1.194119,29,15,11,0.376623,0.517241,0.37931
39,5.418144,0.38,0.920499,0.940222,29,18,17,0.376623,0.62069,0.586207
40,4.535726,0.38,0.928031,0.989314,28,14,12,0.363636,0.5,0.428571
41,inf,0.87,1.116804,1.391667,30,7,0,0.38961,0.233333,0.0
42,12.998437,0.38,0.995528,1.054697,29,18,17,0.376623,0.62069,0.586207
43,5.403694,0.38,0.95578,0.973654,32,19,18,0.415584,0.59375,0.5625
44,5.418144,0.38,0.93753,0.989527,22,15,13,0.285714,0.681818,0.590909
45,6.553912,0.38,0.961108,1.001963,28,15,14,0.363636,0.535714,0.5
