window_id,actual_separated_cpwer,predicted_separated_cpwer,actual_mixed_cpwer,predicted_mixed_cpwer,cpwer_contribution,regression_router_decision,regression_router_cpwer,oracle_decision,oracle_cpwer,is_mode_s,cr,lang_id_entropy,length_ratio,content_similarity,num_speakers,runtime_ratio,separated_total_length,mixed_text_length,cr_mixed,lang_id_entropy_mixed
0,2.333333,2.2425,1.0,1.175139,1.333333,mixed,1.0,mixed,1.0,0,1.215789,1.215005,6.689655,0.0,6.0,5.709,194.0,29.0,0.882979,0.362051
1,1.0,1.0,2.0,1.385,-1.0,separated,1.0,separated,1.0,0,0.0,0.0,0.0,0.0,1.0,0.391,0.0,104.0,1.293617,0.266396
2,1.0,1.0,2.0,1.362917,-1.0,separated,1.0,separated,1.0,0,1.32,0.0,0.916667,0.674419,1.0,0.535,77.0,84.0,1.248731,0.255081
3,1.0,1.01,1.0,1.03,0.0,separated,1.0,mixed,1.0,0,1.336634,0.0,1.216216,0.617978,1.0,1.069,90.0,74.0,1.247191,0.0
4,1.0,1.0,1.0,1.0275,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,1.0,0.958,0.0,0.0,0.0,0.0
5,2.0,1.481875,1.0,1.0,1.0,mixed,1.0,mixed,1.0,0,0.928571,0.490342,0.428571,0.018519,1.0,7.636,36.0,84.0,1.253731,0.0
6,1.0,1.013333,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,1.519231,0.0,1.025974,0.301075,2.0,1.994,79.0,77.0,1.32,0.0
7,1.0,1.194583,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,1.0,7.431,0.0,0.0,0.0,0.0
8,1.0,1.314815,4.0,1.680833,-3.0,separated,1.0,separated,1.0,0,0.900901,0.322757,0.708333,0.013333,1.0,1.001,34.0,48.0,0.910569,1.150367
9,1.0,1.0,1.0,1.0,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,1.0,1.502,0.0,0.0,0.0,0.0
10,1.0,1.0,1.0,1.03,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,1.0,1.164,0.0,0.0,0.0,0.0
11,3.0,1.6125,1.0,1.0,2.0,mixed,1.0,mixed,1.0,0,1.354839,0.563285,136.0,0.0,1.0,2.549,136.0,0.0,0.0,0.0
12,1.0,1.1575,1.0,1.270833,0.0,separated,1.0,mixed,1.0,0,1.546875,0.0,1.0,1.0,1.0,0.623,99.0,99.0,1.546875,0.0
13,1.0,1.0,1.0,1.195417,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,1.0,0.775,0.0,0.0,0.0,0.0
14,1.0,1.33875,1.0,1.246111,0.0,mixed,1.0,mixed,1.0,0,1.371795,0.371232,0.99115,0.669725,2.0,2.75,112.0,113.0,1.385593,0.299411
15,1.0,1.0975,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,0.428571,0.0,2.0,0.0,2.0,6.965,2.0,0.0,0.0,0.0
16,1.0,1.34625,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,2.02349,0.0,201.0,0.0,2.0,3.395,201.0,0.0,0.0,0.0
17,1.333333,1.489167,1.0,1.0,0.333333,mixed,1.0,mixed,1.0,0,1.492401,0.275725,167.0,0.0,3.0,12.15,167.0,0.0,0.0,0.0
18,1.666667,1.951935,1.0,1.0,0.666667,mixed,1.0,mixed,1.0,0,1.698462,0.488789,196.0,0.0,3.0,6.905,196.0,0.0,0.0,0.0
19,1.0,1.089861,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,1.327731,0.228538,1.173913,0.530435,2.0,3.348,108.0,92.0,1.366337,0.0
20,2.0,2.208958,1.0,1.0,1.0,mixed,1.0,mixed,1.0,0,1.254032,0.727711,115.0,0.0,2.0,3.859,115.0,0.0,0.0,0.0
21,1.5,1.702639,1.0,1.0,0.5,mixed,1.0,mixed,1.0,0,0.694444,0.503258,9.0,0.0,2.0,10.01,9.0,0.0,0.0,0.0
22,2.0,1.0,1.0,1.003333,1.0,separated,2.0,mixed,1.0,1,1.367925,0.143726,1.020833,0.586538,2.0,7.052,98.0,96.0,1.342723,0.083543
23,3.0,2.457192,1.0,1.0,2.0,mixed,1.0,mixed,1.0,0,1.255814,1.054449,144.0,0.0,2.0,33.378,144.0,0.0,0.0,0.0
24,1.0,1.0,1.0,1.0,0.0,separated,1.0,mixed,1.0,0,0.5,0.0,3.0,0.0,2.0,1.799,3.0,0.0,0.0,0.0
25,1.5,1.792083,1.0,1.0,0.5,mixed,1.0,mixed,1.0,0,1.420732,0.391177,1.087248,0.328205,2.0,1.512,162.0,149.0,1.596429,0.0
26,3.5,2.218167,1.0,1.0,2.5,mixed,1.0,mixed,1.0,0,1.299383,0.911483,1.264,0.244898,2.0,4.069,158.0,125.0,1.436782,0.0
27,1.0,1.233889,1.0,1.0025,0.0,mixed,1.0,mixed,1.0,0,1.484321,0.0,1.014286,0.899225,1.0,1.43,142.0,140.0,1.489362,0.0
28,2.0,2.321111,1.0,1.0,1.0,mixed,1.0,mixed,1.0,0,0.872093,1.294626,35.0,0.0,3.0,25.096,35.0,0.0,0.0,0.0
29,1.0,1.0,2.0,1.060139,-1.0,separated,1.0,separated,1.0,0,0.978261,0.0,0.410959,0.021978,2.0,2.153,30.0,73.0,1.119318,0.738933
30,2.0,1.057083,1.0,1.34,1.0,separated,2.0,mixed,1.0,1,1.491639,0.322852,1.026667,0.482143,1.0,0.991,154.0,150.0,1.52027,0.0
31,2.5,2.084769,1.5,1.675278,1.0,mixed,1.5,mixed,1.5,0,1.050562,1.188276,1.222222,0.008197,2.0,1.778,77.0,63.0,0.94,1.774049
32,1.333333,2.205417,1.333333,1.527917,0.0,mixed,1.333333,mixed,1.333333,0,1.29798,0.660157,3.321429,0.0,3.0,1.53,93.0,28.0,0.894737,1.135816
33,2.666667,1.904567,1.0,1.061806,1.666667,mixed,1.0,mixed,1.0,0,1.159292,1.011761,1.630769,0.05036,3.0,14.312,106.0,65.0,1.268456,0.269828
34,1.0,1.021667,1.0,1.037083,0.0,separated,1.0,mixed,1.0,0,1.415493,0.0,0.712766,0.014599,3.0,4.2,67.0,94.0,1.22807,0.084996
35,2.0,2.390556,1.0,1.0,1.0,mixed,1.0,mixed,1.0,0,0.918519,1.265471,49.0,0.0,1.0,5.178,49.0,0.0,0.0,0.0
36,1.0,1.0,1.0,1.03,0.0,separated,1.0,mixed,1.0,0,1.334928,0.0,1.094118,0.755814,1.0,1.096,93.0,85.0,1.356383,0.0
37,1.0,1.275972,1.0,1.533333,0.0,separated,1.0,mixed,1.0,0,1.384279,0.373609,1.15625,0.166667,1.0,0.422,111.0,96.0,1.398058,0.0
38,1.0,1.0,1.0,1.361667,0.0,separated,1.0,mixed,1.0,0,1.228723,0.0,0.974684,0.036496,1.0,0.459,77.0,79.0,1.209184,0.0
39,1.0,1.0,1.0,1.12,0.0,separated,1.0,mixed,1.0,0,1.14,0.0,0.982759,0.943396,1.0,0.95,57.0,58.0,1.137255,0.0
40,1.0,1.0,6.0,1.864861,-5.0,separated,1.0,separated,1.0,0,1.180645,0.0,0.938462,0.0,1.0,0.124,61.0,65.0,0.923611,1.402582
41,1.5,2.493542,1.0,1.035,0.5,mixed,1.0,mixed,1.0,0,0.966102,1.261787,0.857143,0.037037,2.0,8.463,72.0,84.0,1.292308,0.0
