window_id,window_start_sec,overlap_level,overlap_label,num_speakers,separated_cpwer,mixed_cpwer,max_cr_separated,num_scripts,scripts,lang_entropy_bits,char_ttr,separated_total_length,mixed_text_length,length_ratio,primary_mode
0,0.0,0,NoOverlap,6,2.333333,1.0,1.102,3,"Han,Hangul,Latin",1.2483,0.6183,194,29,6.6897,multilingual_mixing
5,150.0,0,NoOverlap,1,2.0,1.0,0.9286,1,Han,0.4138,0.8857,36,84,0.4286,semantic_drift
11,330.0,0,NoOverlap,1,3.0,1.0,1.3548,2,"Han,Latin",0.5633,0.5672,136,0,136.0,insertion_dominated
17,510.0,2,MidOverlap,3,1.333333,1.0,1.6684,2,"Han,Latin",0.3134,0.5602,167,0,167.0,insertion_dominated
18,540.0,3,HeavyOverlap,3,1.666667,1.0,2.9655,2,"Han,Latin",0.5451,0.4639,196,0,196.0,repetition
20,600.0,1,LightOverlap,2,2.0,1.0,1.3758,2,"Han,Latin",0.7412,0.6903,115,0,115.0,insertion_dominated
21,630.0,0,NoOverlap,2,1.5,1.0,0.6944,1,Han,0.5033,1.0,9,0,9.0,insertion_dominated
22,660.0,0,NoOverlap,2,2.0,1.0,1.3679,1,Han,0.1437,0.5521,98,96,1.0208,substitution_dominated
23,690.0,0,NoOverlap,2,3.0,1.0,1.1777,2,"Han,Latin",0.9721,0.6286,144,0,144.0,insertion_dominated
25,750.0,1,LightOverlap,2,1.5,1.0,1.4601,2,"Han,Latin",0.4135,0.5714,162,149,1.0872,substitution_dominated
26,780.0,0,NoOverlap,2,3.5,1.0,1.4098,2,"Han,Latin",0.8548,0.634,158,125,1.264,substitution_dominated
28,840.0,0,NoOverlap,3,2.0,1.0,0.8533,2,"Han,Latin",1.3516,0.875,35,0,35.0,insertion_dominated
30,900.0,0,NoOverlap,1,2.0,1.0,1.4916,2,"Han,Latin",0.3229,0.5163,154,150,1.0267,substitution_dominated
31,930.0,0,NoOverlap,2,2.5,1.5,0.9912,2,"Han,Latin",1.1598,0.8108,77,63,1.2222,substitution_dominated
32,960.0,1,LightOverlap,3,1.333333,1.333333,1.3813,2,"Han,Latin",0.6875,0.5652,93,28,3.3214,insertion_dominated
33,990.0,2,MidOverlap,3,2.666667,1.0,1.1658,2,"Han,Latin",1.0423,0.703,106,65,1.6308,substitution_dominated
35,1050.0,0,NoOverlap,1,2.0,1.0,0.9185,2,"Han,Latin",1.1859,0.9375,49,0,49.0,insertion_dominated
41,1230.0,0,NoOverlap,2,1.5,1.0,0.9068,2,"Han,Latin",1.2388,0.8451,72,84,0.8571,semantic_drift
42,1260.0,0,NoOverlap,2,3.0,1.5,0.9709,2,"Han,Latin",1.4265,0.7,54,74,0.7297,semantic_drift
43,1290.0,2,MidOverlap,3,1.666667,1.0,2.0157,2,"Han,Latin",0.6362,0.5795,178,107,1.6636,substitution_dominated
45,1350.0,1,LightOverlap,4,3.25,1.0,0.943,2,"Han,Latin",1.3449,0.6607,121,122,0.9918,semantic_drift
47,1410.0,1,LightOverlap,4,2.0,1.0,1.1212,2,"Han,Latin",0.994,0.7281,118,0,118.0,insertion_dominated
48,1440.0,2,MidOverlap,3,2.0,1.0,1.0609,2,"Han,Latin",1.0056,0.7143,143,116,1.2328,substitution_dominated
49,1470.0,1,LightOverlap,4,2.0,1.0,1.2671,2,"Han,Latin",0.4468,0.6341,127,0,127.0,insertion_dominated
51,1530.0,1,LightOverlap,3,2.0,1.0,1.2674,3,"Han,Hiragana,Latin",1.214,0.6507,149,45,3.3111,multilingual_mixing
53,1590.0,1,LightOverlap,2,3.0,1.0,1.0777,2,"Han,Latin",1.0598,0.7412,89,0,89.0,insertion_dominated
55,1650.0,2,MidOverlap,3,1.333333,1.0,1.0679,2,"Han,Latin",0.5052,0.7667,91,0,91.0,insertion_dominated
57,1710.0,0,NoOverlap,2,2.0,1.0,0.9573,2,"Han,Latin",1.2364,0.7162,76,0,76.0,insertion_dominated
63,1890.0,1,LightOverlap,2,3.0,1.0,0.9225,2,"Han,Latin",1.3438,0.7778,67,0,67.0,insertion_dominated
65,1950.0,1,LightOverlap,3,2.666667,1.0,1.9744,2,"Han,Latin",1.243,0.5101,154,0,154.0,insertion_dominated
68,2040.0,2,MidOverlap,4,3.0,1.0,1.1157,4,"Han,Hangul,Hiragana,Latin",1.2917,0.6985,144,83,1.7349,multilingual_mixing
69,2070.0,1,LightOverlap,2,1.5,1.0,1.4085,2,"Han,Latin",0.4983,0.6484,129,116,1.1121,substitution_dominated
70,2100.0,2,MidOverlap,3,1.666667,1.0,0.9262,2,"Han,Latin",1.0727,0.8222,92,39,2.359,insertion_dominated
72,2160.0,2,MidOverlap,4,1.75,1.0,1.0663,2,"Han,Latin",1.1331,0.6636,116,0,116.0,insertion_dominated
73,2190.0,1,LightOverlap,3,4.333333,1.0,0.9276,3,"Han,Hiragana,Latin",1.4221,0.789,119,0,119.0,multilingual_mixing
74,2220.0,2,MidOverlap,4,1.5,1.0,1.028,2,"Han,Latin",0.9684,0.84,102,0,102.0,insertion_dominated
76,2280.0,0,NoOverlap,1,3.0,1.0,1.0215,2,"Han,Latin",0.9037,0.8611,74,0,74.0,insertion_dominated
