window_id,overlap_label,hallucinated,mode_s,diverse_hallucination,lang_id_entropy,kl_score,always_mixed_cpwer,always_separated_cpwer,router_v2_cpwer,oracle_best_cpwer,kl_flag,kl_decision,kl_cpwer,rq16_lang_id_decision,rq16_lang_id_cpwer
0,NoOverlap,1,0,1,1.553509,18.931487,1.0,2.333333,2.333333,1.0,1,mixed,1.0,mixed,1.0
1,NoOverlap,0,0,0,0.0,0.0,2.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
2,NoOverlap,0,0,0,0.0,3.100953,2.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
3,NoOverlap,0,0,0,0.0,2.963245,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
4,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
5,NoOverlap,1,0,1,0.490342,14.898161,1.0,2.0,2.0,1.0,1,mixed,1.0,mixed,1.0
6,NoOverlap,0,0,0,0.0,6.553912,1.0,1.0,1.0,1.0,1,mixed,1.0,separated,1.0
7,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
8,NoOverlap,0,0,0,0.322757,3.213019,4.0,1.0,4.0,1.0,0,separated,1.0,separated,1.0
9,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
10,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
11,NoOverlap,1,0,1,0.563285,12.346379,1.0,3.0,1.0,1.0,1,mixed,1.0,mixed,1.0
12,NoOverlap,0,0,0,0.0,3.058908,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
13,NoOverlap,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
14,NoOverlap,0,0,0,0.373609,20.723246,1.0,1.0,1.0,1.0,1,mixed,1.0,separated,1.0
15,NoOverlap,0,0,0,0.0,3.295817,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
16,LightOverlap,0,0,0,0.0,3.702498,1.0,1.0,1.0,1.0,0,separated,1.0,separated,1.0
17,MidOverlap,1,0,1,0.630778,15.858793,1.0,1.333333,1.0,1.0,1,mixed,1.0,mixed,1.0
18,HeavyOverlap,1,0,1,1.240671,18.276815,1.0,1.666667,1.666667,1.0,1,mixed,1.0,mixed,1.0
19,LightOverlap,0,0,0,0.863121,5.403694,1.0,1.0,1.0,1.0,0,separated,1.0,mixed,1.0
20,LightOverlap,1,0,1,1.298023,16.022418,1.0,2.0,1.0,1.0,1,mixed,1.0,mixed,1.0
21,NoOverlap,1,0,1,0.503258,18.777336,1.0,1.5,1.0,1.0,1,mixed,1.0,mixed,1.0
22,NoOverlap,1,1,0,0.143726,13.078859,1.0,2.0,2.0,1.0,1,mixed,1.0,separated,2.0
