window_id,hallucinated,mode_s,lang_id_entropy,length_ratio,cr,sep_runtime_sec,mix_runtime_sec,runtime_ratio,sep_total_chars,mix_total_chars,char_ratio,num_speakers,num_active_speakers_sep,avg_speaker_length_sep,length_entropy_speakers,metadata_lr_prob,metadata_lr_flag,ensemble_flag
0,True,False,1.553509,6.689655,1.102041,15.911,2.787,5.709006,194.0,29.0,6.689655,6.0,6.0,32.333333,2.010499,0.0,False,True
1,False,False,0.0,0.0,0.0,0.546,1.396,0.391117,0.0,104.0,0.0,1.0,0.0,0.0,0.0,0.000204,False,False
2,False,False,0.0,0.916667,1.32,0.603,1.128,0.534574,77.0,84.0,0.916667,1.0,1.0,77.0,0.0,0.000412,False,False
3,False,False,0.0,1.216216,1.336634,0.653,0.611,1.06874,90.0,74.0,1.216216,1.0,1.0,90.0,0.0,0.000568,False,False
4,False,False,0.0,0.0,0.0,0.387,0.404,0.957921,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
5,True,False,0.490342,0.428571,0.928571,4.91,0.643,7.636081,36.0,84.0,0.428571,1.0,1.0,36.0,0.0,3.9e-05,False,True
6,False,False,0.0,1.025974,1.530612,1.314,0.659,1.99393,79.0,77.0,1.025974,2.0,2.0,39.5,0.289079,3e-06,False,False
7,False,False,0.0,0.0,0.0,4.607,0.62,7.430645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
8,False,False,0.322757,0.708333,0.900901,3.888,3.884,1.00103,34.0,48.0,0.708333,1.0,1.0,34.0,0.0,4.3e-05,False,False
9,False,False,0.0,0.0,0.0,4.121,2.743,1.50237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3e-06,False,False
10,False,False,0.0,0.0,0.0,0.59,0.507,1.163708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
11,True,False,0.563285,136.0,1.354839,1.667,0.654,2.54893,136.0,0.0,0.0,1.0,1.0,136.0,0.0,0.002417,False,True
12,False,False,0.0,1.0,1.546875,2.36,3.788,0.62302,99.0,99.0,1.0,1.0,1.0,99.0,0.0,0.000224,False,False
13,False,False,0.0,0.0,0.0,4.706,6.073,0.774905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
14,False,False,0.373609,0.99115,1.347458,3.641,1.324,2.75,112.0,113.0,0.99115,2.0,2.0,56.0,0.073603,1e-06,False,False
15,False,False,0.0,2.0,0.428571,4.353,0.625,6.9648,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.2e-05,False,False
16,False,False,0.0,201.0,2.30597,2.322,0.684,3.394737,201.0,0.0,0.0,2.0,2.0,100.5,0.999554,0.0,False,False
17,True,False,0.630778,167.0,1.668449,9.331,0.768,12.14974,167.0,0.0,0.0,3.0,3.0,55.666667,1.106948,0.0,False,True
18,True,False,1.240671,196.0,2.965517,10.544,1.527,6.905043,196.0,0.0,0.0,3.0,3.0,65.333333,1.190035,0.0,False,True
