pair_id,con,pro,overlap_ratio,cer_mixed_greedy,cer_sep_greedy,cer_mixed_vote,cer_sep_vote,agr_mixed_mean_cer,agr_mixed_score,agr_mixed_cv,agr_sep_mean_cer,agr_sep_score,agr_sep_cv,cr_mixed_greedy,cr_sep_greedy,cer_mixed_t0.0,cer_mixed_t0.1,cer_mixed_t0.2,cer_mixed_t0.3,cer_mixed_t0.4,cer_sep_t0.0,cer_sep_t0.1,cer_sep_t0.2,cer_sep_t0.3,cer_sep_t0.4
0,con_001.wav,pro_001.wav,0.0,0.46875,0.34375,0.4375,0.3125,0.178125,0.359551,0.0,0.065625,0.603774,0.0,0.9505,0.8226,0.46875,0.4375,0.46875,0.4375,0.125,0.34375,0.28125,0.3125,0.375,0.3125
0,con_001.wav,pro_001.wav,0.15,0.46875,0.34375,0.4375,0.34375,0.215625,0.316832,0.015028,0.1375,0.421053,0.012422,0.9327,0.8226,0.46875,0.4375,0.125,0.4375,0.46875,0.34375,0.34375,0.4375,0.34375,0.34375
0,con_001.wav,pro_001.wav,0.35,0.25,0.34375,0.25,0.34375,0.2,0.333333,0.0,0.13125,0.432432,0.012422,0.9158,0.8226,0.25,0.25,0.3125,0.5625,0.21875,0.34375,0.34375,0.3125,0.34375,0.375
0,con_001.wav,pro_001.wav,0.6,0.4375,0.34375,0.6875,0.34375,0.473014,0.174516,0.024325,0.075,0.571429,0.012422,0.8721,0.8226,0.4375,0.4375,0.75,0.71875,0.71875,0.34375,0.34375,0.34375,0.34375,0.34375
0,con_001.wav,pro_001.wav,0.9,0.78125,0.34375,0.8125,0.34375,3.447778,0.028187,1.180784,0.0625,0.615385,0.01512,0.9231,0.8226,0.78125,0.8125,0.78125,0.75,4.875,0.34375,0.34375,0.34375,0.34375,0.375
1,con_002.wav,pro_008.wav,0.0,0.380952,0.380952,0.571429,0.47619,0.192,0.342466,0.040487,0.153391,0.394647,0.040487,0.8846,0.8824,0.380952,0.380952,0.380952,0.380952,0.285714,0.380952,0.333333,0.52381,0.285714,0.428571
1,con_002.wav,pro_008.wav,0.15,0.380952,0.380952,0.380952,0.571429,0.181532,0.3552,0.052705,0.234783,0.298701,0.032787,0.8846,0.8824,0.380952,0.333333,0.380952,0.380952,0.380952,0.380952,0.571429,0.52381,0.380952,0.47619
1,con_002.wav,pro_008.wav,0.35,0.52381,0.380952,0.52381,0.428571,0.095238,0.512195,0.0,0.155478,0.391423,0.041168,0.8514,0.8824,0.52381,0.52381,0.52381,0.380952,0.571429,0.380952,0.380952,0.285714,0.285714,0.428571
1,con_002.wav,pro_008.wav,0.6,0.666667,0.380952,0.666667,0.47619,0.044444,0.692308,0.0,0.224,0.308642,0.03252,0.8308,0.8824,0.666667,0.666667,0.666667,0.666667,0.714286,0.380952,0.428571,0.571429,0.52381,0.285714
1,con_002.wav,pro_008.wav,0.9,0.904762,0.380952,0.952381,0.47619,0.232381,0.30086,0.033555,0.139826,0.416969,0.03252,0.8036,0.8824,0.904762,0.952381,0.904762,0.952381,0.952381,0.380952,0.285714,0.428571,0.47619,0.380952
2,con_003.wav,pro_015.wav,0.0,0.444444,0.666667,0.444444,0.666667,0.152924,0.395376,0.020833,0.15,0.4,0.04878,0.8333,0.7105,0.444444,0.444444,0.5,0.277778,0.444444,0.666667,0.666667,0.666667,0.666667,0.666667
2,con_003.wav,pro_015.wav,0.15,0.666667,0.666667,0.666667,0.666667,0.114286,0.466667,0.0,0.175,0.363636,0.029872,0.6562,0.7105,0.666667,0.666667,0.722222,0.666667,0.611111,0.666667,0.722222,0.666667,0.666667,0.722222
2,con_003.wav,pro_015.wav,0.35,0.666667,0.666667,0.666667,0.722222,0.057143,0.636364,0.0,0.240441,0.293736,0.02381,0.6562,0.7105,0.666667,0.666667,0.666667,0.666667,0.611111,0.666667,0.666667,0.666667,0.777778,0.722222
2,con_003.wav,pro_015.wav,0.6,0.777778,0.666667,0.777778,0.722222,0.057143,0.636364,0.0,0.2125,0.32,0.029512,0.6562,0.7105,0.777778,0.777778,0.777778,0.722222,0.777778,0.666667,0.722222,0.722222,0.666667,0.722222
2,con_003.wav,pro_015.wav,0.9,0.833333,0.666667,0.833333,0.722222,0.285714,0.259259,0.055556,0.304044,0.247498,0.02381,0.6562,0.7105,0.833333,0.833333,0.833333,0.833333,0.722222,0.666667,0.666667,0.722222,0.722222,0.666667
3,con_004.wav,pro_007.wav,0.0,0.555556,0.444444,0.555556,0.444444,0.04,0.714286,0.0,0.184191,0.351876,0.039528,0.7317,0.7317,0.555556,0.555556,0.555556,0.555556,0.555556,0.444444,0.444444,0.5,0.444444,0.444444
3,con_004.wav,pro_007.wav,0.15,0.611111,0.444444,0.555556,0.444444,0.145454,0.407408,0.037037,0.385662,0.205905,0.039528,0.75,0.7317,0.611111,0.611111,0.611111,0.611111,0.666667,0.444444,0.5,0.555556,0.444444,0.611111
3,con_004.wav,pro_007.wav,0.35,6.166667,0.444444,0.555556,0.444444,0.685294,0.127341,1.031123,0.312337,0.24252,0.048193,17.6842,0.7317,6.166667,0.555556,0.555556,0.555556,0.666667,0.444444,0.444444,0.611111,0.611111,0.555556
3,con_004.wav,pro_007.wav,0.6,0.666667,0.444444,0.777778,0.444444,0.579915,0.147077,0.142527,0.189583,0.345324,0.025316,13.5405,0.7317,0.666667,0.555556,0.777778,0.777778,0.777778,0.444444,0.444444,0.444444,0.444444,0.555556
3,con_004.wav,pro_007.wav,0.9,0.777778,0.444444,0.722222,0.5,0.453095,0.180801,0.111555,0.15,0.4,0.051282,0.7963,0.7317,0.777778,0.777778,0.833333,0.833333,0.833333,0.444444,0.444444,0.444444,0.444444,0.444444
4,con_005.wav,pro_014.wav,0.0,0.65,0.5,0.7,0.45,0.302767,0.248282,0.021677,0.278947,0.263889,0.021277,0.8625,0.7692,0.65,0.65,0.65,0.55,0.4,0.5,0.55,0.6,0.5,0.55
4,con_005.wav,pro_014.wav,0.15,0.6,0.5,0.6,0.5,0.252632,0.283582,0.020833,0.350274,0.222087,0.063246,0.8382,0.7692,0.6,0.6,0.5,0.65,0.45,0.5,0.5,0.65,0.75,0.45
4,con_005.wav,pro_014.wav,0.35,0.75,0.5,0.8,0.55,0.322222,0.236842,0.045455,0.37995,0.208355,0.058824,0.8308,0.7692,0.75,0.75,0.6,0.6,0.65,0.5,0.7,0.55,0.45,0.7
4,con_005.wav,pro_014.wav,0.6,0.8,0.5,0.8,0.45,0.427778,0.189474,0.191052,0.468655,0.175854,0.140661,0.8136,0.7692,0.8,0.8,0.85,0.8,0.8,0.5,0.5,0.65,0.85,0.7
4,con_005.wav,pro_014.wav,0.9,0.8,0.5,0.8,0.45,0.25,0.285714,0.035714,0.461982,0.177942,0.076923,0.7857,0.7692,0.8,0.8,0.8,0.8,0.85,0.5,0.35,0.6,0.95,0.55
