router,n,primary_meeting_mean,primary_bca_ci_lo,primary_bca_ci_hi,primary_bca_width,primary_bca_excludes_oracle,oracle_inside_primary_bca_ci,power,power_excludes_count,power_n_meetings,median_bca_ci_lo,median_bca_ci_hi,median_bca_excludes_oracle,mean_meeting_mean,std_meeting_mean
lang_id_corrected,77,1.032468,1.006494,1.071429,0.064935,False,True,0.385,77,200,1.012987,1.101732,False,1.046385,0.022187
lang_id_corrected,105,1.033333,1.009524,1.071429,0.061905,False,True,0.495,99,200,1.015873,1.085714,False,1.044746,0.019195
lang_id_corrected,154,1.038961,1.016234,1.068182,0.051948,False,True,0.605,121,200,1.020563,1.081169,True,1.044735,0.01555
lang_id_corrected,250,1.034667,1.019333,1.056667,0.037333,True,False,0.84,168,200,1.026,1.072667,True,1.044543,0.011202
lang_id_corrected,308,1.034091,1.020022,1.054654,0.034632,True,False,0.89,178,200,1.027056,1.068452,True,1.044581,0.010114
lang_id_corrected,500,1.04,1.027333,1.057,0.029667,True,False,0.99,198,200,1.030667,1.062667,True,1.044157,0.007617
lang_id_corrected,616,1.035444,1.024351,1.049784,0.025433,True,False,0.995,199,200,1.031385,1.060877,True,1.044291,0.007125
lang_id_corrected,770,1.034416,1.024892,1.046753,0.021861,True,False,1.0,200,200,1.032251,1.058225,True,1.044352,0.006433
lang_id_corrected,1000,1.037333,1.028333,1.0485,0.020167,True,False,1.0,200,200,1.033833,1.056561,True,1.044114,0.005591
kl_corrected,77,1.019481,1.0,1.045455,0.045455,False,True,0.11,22,200,1.006494,1.069264,False,1.029567,0.016388
kl_corrected,105,1.02381,1.004762,1.052381,0.047619,False,True,0.215,43,200,1.009524,1.061905,False,1.02946,0.013887
kl_corrected,154,1.025974,1.00974,1.048701,0.038961,False,True,0.22,44,200,1.011905,1.056277,False,1.030189,0.011719
kl_corrected,250,1.030667,1.017333,1.052,0.034667,True,False,0.41,82,200,1.016,1.051333,False,1.030263,0.00864
kl_corrected,308,1.027597,1.015693,1.044913,0.029221,False,True,0.425,85,200,1.016234,1.048701,False,1.030181,0.007904
kl_corrected,500,1.026,1.017,1.038667,0.021667,False,True,0.625,125,200,1.018667,1.043333,True,1.029657,0.006319
kl_corrected,616,1.02408,1.015963,1.035444,0.019481,False,True,0.755,151,200,1.020292,1.042749,True,1.030014,0.005548
kl_corrected,770,1.025325,1.017749,1.035498,0.017749,True,False,0.865,173,200,1.020671,1.04083,True,1.030111,0.005026
kl_corrected,1000,1.024333,1.017833,1.032833,0.015,True,False,0.915,183,200,1.022417,1.039917,True,1.030154,0.004491
