pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_speaker_gate,max_compression_ratio,repetition_count,mean_logprob,max_no_speech_prob
0,0.0,white,10.0,0.4375,0.28125,0.8333,0,-0.6132,0.136
0,0.0,white,5.0,0.53125,0.5,0.8644,0,-0.684,0.2952
0,0.0,white,0.0,1.0,0.875,0.9062,0,-1.5092,0.5458
0,0.0,pink,10.0,0.46875,0.28125,0.8525,0,-0.4952,0.1412
0,0.0,pink,5.0,0.53125,0.5,0.8281,0,-0.7432,0.3004
0,0.0,pink,0.0,0.5,0.59375,0.7925,0,-1.2858,0.4614
0,0.0,babble,10.0,0.6875,0.4375,0.807,0,-0.8563,0.1721
0,0.0,babble,5.0,0.71875,1.4375,1.0,0,-1.0557,0.3899
0,0.0,babble,0.0,1.0,1.71875,1.8923,9,-1.407,0.5777
0,0.1,white,10.0,0.4375,0.40625,0.8281,0,-0.6056,0.1651
0,0.1,white,5.0,0.65625,0.46875,0.8136,0,-0.6098,0.2854
0,0.1,white,0.0,0.875,0.90625,1.0385,0,-0.7444,0.4804
0,0.1,pink,10.0,0.46875,0.28125,0.8525,0,-0.4911,0.1819
0,0.1,pink,5.0,0.46875,0.4375,0.8254,0,-0.6327,0.2121
0,0.1,pink,0.0,0.75,0.53125,0.8136,0,-0.9605,0.4608
0,0.1,babble,10.0,0.59375,0.40625,0.8136,0,-0.5772,0.1712
0,0.1,babble,5.0,0.65625,0.625,0.8852,0,-1.2546,0.4666
0,0.1,babble,0.0,1.0,1.0,0.0,0,0.0,0.0
0,0.3,white,10.0,0.53125,0.46875,0.8197,0,-0.7032,0.1873
0,0.3,white,5.0,0.6875,0.5,0.7925,0,-0.7591,0.1897
0,0.3,white,0.0,0.875,0.84375,0.8,0,-1.6889,0.576
0,0.3,pink,10.0,0.5,0.3125,0.8226,0,-0.5002,0.1658
0,0.3,pink,5.0,0.46875,0.40625,0.8254,0,-0.5665,0.2064
0,0.3,pink,0.0,0.78125,0.53125,0.9153,0,-0.8383,0.3774
0,0.3,babble,10.0,0.75,0.5625,0.8036,0,-0.9403,0.2252
0,0.3,babble,5.0,0.65625,0.65625,1.1091,0,-1.147,0.5809
0,0.3,babble,0.0,0.9375,1.625,3.0833,7,-1.0646,0.5421
0,0.6,white,10.0,0.78125,0.34375,0.8254,0,-0.5939,0.1529
0,0.6,white,5.0,0.8125,0.6875,0.8308,0,-0.921,0.3054
0,0.6,white,0.0,0.84375,0.875,0.9623,0,-1.5325,0.5903
