pair_id,overlap_ratio,cer_mixed,cer_sep,emo_mixed,emo_sep,text_route
0,0.0,0.46875,1.125,0.0,0.0,mixed
0,0.1,0.46875,1.125,0.095427,0.032061,mixed
0,0.3,0.53125,0.6875,0.394446,0.119298,mixed
0,0.6,0.4375,0.625,0.700995,0.507315,mixed
0,0.9,0.78125,0.3125,0.571678,0.074268,sep
1,0.0,0.380952,1.095238,0.0,0.0,mixed
1,0.1,0.380952,1.095238,0.356854,0.005955,mixed
1,0.3,0.428571,0.952381,0.178746,0.056946,mixed
1,0.6,0.666667,0.761905,0.16202,0.058033,mixed
1,0.9,0.904762,0.619048,0.368239,0.124751,sep
2,0.0,0.444444,0.888889,0.0,0.0,mixed
2,0.1,0.666667,0.833333,0.387021,0.006331,mixed
2,0.3,0.666667,0.444444,0.059953,0.00938,sep
2,0.6,0.777778,0.666667,0.09696,0.021881,sep
2,0.9,0.833333,0.611111,0.386749,0.312477,sep
3,0.0,0.555556,0.722222,0.0,0.0,mixed
3,0.1,0.555556,0.5,0.047165,0.051737,sep
3,0.3,0.555556,12.5,0.088916,0.047365,mixed
3,0.6,0.666667,0.555556,0.16153,0.123589,sep
3,0.9,0.777778,0.722222,0.43267,0.087541,sep
4,0.0,0.65,0.6,0.0,0.0,sep
4,0.1,0.65,0.95,0.042508,0.004667,mixed
4,0.3,0.8,1.0,0.077747,0.015393,mixed
4,0.6,0.8,0.8,0.093023,0.023127,mixed
4,0.9,0.8,0.75,0.082558,0.027648,sep
5,0.0,0.529412,1.0,0.0,0.0,mixed
5,0.1,0.352941,0.941176,0.126258,0.106924,mixed
5,0.3,0.764706,1.058824,0.203317,0.139995,mixed
5,0.6,0.823529,0.588235,0.206593,0.131759,sep
5,0.9,0.941176,0.588235,0.213704,0.0743,sep
6,0.0,0.277778,0.777778,0.0,0.0,mixed
6,0.1,0.333333,0.722222,0.113496,0.021637,mixed
6,0.3,0.277778,0.611111,0.210152,0.087772,mixed
6,0.6,0.666667,0.611111,0.170796,0.072048,sep
6,0.9,0.444444,0.388889,0.229004,0.398352,sep
7,0.0,0.409091,0.909091,0.0,0.0,mixed
7,0.1,0.727273,0.863636,0.042215,0.035946,mixed
7,0.3,0.363636,0.863636,0.179786,0.186787,mixed
7,0.6,0.545455,0.772727,0.508582,0.104727,mixed
7,0.9,0.727273,0.363636,0.19699,0.09961,sep
