window_id,overlap_label,num_speakers,lang_id_entropy,corrected_decision,hallucinated,mode_s,mode,length_ratio,max_cr,word_mixed_cpwer,word_separated_cpwer,word_oracle_cpwer,word_corrected_cpwer,char_mixed_cpwer,char_separated_cpwer,char_oracle_cpwer,char_corrected_cpwer,separated_char_errors,separated_char_length,mixed_char_errors,mixed_char_length
0,NoOverlap,6,1.553509,mixed,True,False,diverse_hallucination,6.413793,1.102041,1.0,2.333333,1.0,1.0,0.963636,1.645455,0.963636,0.963636,181,110,106,110
1,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.0,0.0,2.0,1.0,1.0,1.0,0.80625,1.0,0.80625,1.0,-1,-1,129,160
2,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.927711,1.32,2.0,1.0,1.0,1.0,0.663793,0.663793,0.663793,0.663793,77,116,77,116
3,NoOverlap,1,0.0,separated,False,False,non_hallucinated,1.216216,1.336634,1.0,1.0,1.0,1.0,0.722543,0.67052,0.67052,0.67052,116,173,125,173
4,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
5,NoOverlap,1,0.490342,mixed,True,False,diverse_hallucination,0.416667,0.928571,1.0,2.0,1.0,1.0,0.777778,0.951389,0.777778,0.777778,137,144,112,144
6,NoOverlap,2,0.0,separated,False,False,non_hallucinated,1.025974,1.530612,1.0,1.0,1.0,1.0,0.815951,0.846626,0.815951,0.846626,138,163,133,163
7,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
8,NoOverlap,1,0.322757,separated,False,False,non_hallucinated,0.755556,0.900901,4.0,1.0,1.0,1.0,0.960784,0.95098,0.95098,0.95098,97,102,98,102
9,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
10,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
11,NoOverlap,1,0.563285,mixed,True,False,diverse_hallucination,134.0,1.354839,1.0,3.0,1.0,1.0,1.0,0.693989,0.693989,1.0,127,183,-1,-1
12,NoOverlap,1,0.0,separated,False,False,non_hallucinated,1.0,1.546875,1.0,1.0,1.0,1.0,0.691781,0.691781,0.691781,0.691781,101,146,101,146
13,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
14,NoOverlap,2,0.373609,separated,False,False,non_hallucinated,0.99115,1.347458,1.0,1.0,1.0,1.0,0.871508,0.865922,0.865922,0.865922,155,179,156,179
15,NoOverlap,2,0.0,separated,False,False,non_hallucinated,2.0,0.428571,1.0,1.0,1.0,1.0,1.0,0.994536,0.994536,0.994536,182,183,-1,-1
16,LightOverlap,2,0.0,separated,False,False,non_hallucinated,201.0,2.30597,1.0,1.0,1.0,1.0,1.0,0.960396,0.960396,0.960396,194,202,-1,-1
17,MidOverlap,3,0.630778,mixed,True,False,diverse_hallucination,166.0,1.668449,1.0,1.333333,1.0,1.0,1.0,0.895683,0.895683,1.0,249,278,-1,-1
18,HeavyOverlap,3,1.240671,mixed,True,False,diverse_hallucination,194.0,2.965517,1.0,1.666667,1.0,1.0,1.0,0.901024,0.901024,1.0,264,293,-1,-1
19,LightOverlap,2,0.863121,mixed,False,False,non_hallucinated,1.173913,1.349282,1.0,1.0,1.0,1.0,0.867299,0.914692,0.867299,0.867299,193,211,183,211
20,LightOverlap,2,1.298023,mixed,True,False,diverse_hallucination,113.0,1.375796,1.0,2.0,1.0,1.0,1.0,0.898305,0.898305,1.0,159,177,-1,-1
21,NoOverlap,2,0.503258,mixed,True,False,diverse_hallucination,8.0,0.694444,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,113,113,-1,-1
22,NoOverlap,2,0.143726,separated,True,True,mode_s,1.010526,1.367925,1.0,2.0,1.0,2.0,0.542373,0.491525,0.491525,0.491525,58,118,64,118
23,NoOverlap,2,1.216316,mixed,True,False,diverse_hallucination,140.0,1.177665,1.0,3.0,1.0,1.0,1.0,1.574713,1.0,1.0,137,87,-1,-1
24,LightOverlap,2,0.0,separated,False,False,non_hallucinated,3.0,0.5,1.0,1.0,1.0,1.0,1.0,0.99435,0.99435,0.99435,176,177,-1,-1
25,LightOverlap,2,1.086049,mixed,True,False,diverse_hallucination,1.080537,1.460145,1.0,1.5,1.0,1.0,0.684874,0.663866,0.663866,0.684874,158,238,163,238
26,NoOverlap,2,1.750916,mixed,True,False,diverse_hallucination,1.224,1.409774,1.0,3.5,1.0,1.0,0.73991,0.856502,0.73991,0.73991,191,223,165,223
27,NoOverlap,1,0.0,separated,False,False,non_hallucinated,1.014286,1.484321,1.0,1.0,1.0,1.0,0.696203,0.696203,0.696203,0.696203,165,237,165,237
28,NoOverlap,3,0.785235,mixed,True,False,diverse_hallucination,32.0,0.853333,1.0,2.0,1.0,1.0,1.0,0.953704,0.953704,1.0,103,108,-1,-1
29,LightOverlap,2,0.0,separated,False,False,non_hallucinated,0.428571,1.0,2.0,1.0,1.0,1.0,0.944444,0.868056,0.868056,0.868056,125,144,136,144
30,NoOverlap,1,0.322852,separated,True,True,mode_s,1.02,1.491639,1.0,2.0,1.0,2.0,0.802691,0.802691,0.802691,0.802691,179,223,179,223
31,NoOverlap,2,1.1635,mixed,True,False,diverse_hallucination,1.213115,0.991228,1.5,2.5,1.5,1.5,0.986425,0.968326,0.968326,0.986425,214,221,218,221
32,LightOverlap,3,1.31639,mixed,True,False,diverse_hallucination,3.68,1.381295,1.333333,1.333333,1.333333,1.333333,0.979899,0.809045,0.809045,0.979899,161,199,195,199
33,MidOverlap,3,1.068306,mixed,True,False,diverse_hallucination,1.553846,1.165829,1.0,2.666667,1.0,1.0,0.880383,0.976077,0.880383,0.880383,204,209,184,209
34,LightOverlap,3,0.0,separated,False,False,non_hallucinated,0.712766,2.272727,1.0,1.0,1.0,1.0,0.867403,0.977901,0.867403,0.977901,177,181,157,181
35,NoOverlap,1,1.265471,mixed,True,False,diverse_hallucination,48.0,0.918519,1.0,2.0,1.0,1.0,1.0,0.962264,0.962264,1.0,102,106,-1,-1
36,NoOverlap,1,0.0,separated,False,False,non_hallucinated,1.094118,1.334928,1.0,1.0,1.0,1.0,0.678363,0.672515,0.672515,0.672515,115,171,116,171
37,NoOverlap,1,0.373609,separated,False,False,non_hallucinated,1.15625,1.384279,1.0,1.0,1.0,1.0,0.730159,0.626984,0.626984,0.626984,79,126,92,126
38,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.974684,1.228723,1.0,1.0,1.0,1.0,0.870504,0.798561,0.798561,0.798561,111,139,121,139
39,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.982759,1.14,1.0,1.0,1.0,1.0,0.662791,0.674419,0.662791,0.674419,58,86,57,86
40,NoOverlap,1,0.0,separated,False,False,non_hallucinated,1.016667,1.180645,6.0,1.0,1.0,1.0,0.961538,0.5,0.5,0.5,39,78,75,78
41,NoOverlap,2,1.241695,mixed,True,False,diverse_hallucination,0.845238,0.90678,1.0,1.5,1.0,1.0,0.982301,0.955752,0.955752,0.982301,108,113,111,113
42,NoOverlap,2,1.554222,mixed,True,False,diverse_hallucination,0.694444,0.970874,1.5,3.0,1.5,1.5,0.873626,0.989011,0.873626,0.873626,180,182,159,182
43,MidOverlap,3,1.685816,mixed,True,False,diverse_hallucination,1.64486,2.015748,1.0,1.666667,1.0,1.0,0.924883,0.938967,0.924883,0.924883,200,213,197,213
44,MidOverlap,3,0.831474,mixed,False,False,non_hallucinated,1.029412,1.092857,1.0,1.0,1.0,1.0,0.937799,0.866029,0.866029,0.937799,181,209,196,209
45,LightOverlap,4,1.378783,mixed,True,False,diverse_hallucination,0.941176,0.943038,1.0,3.25,1.0,1.0,0.974619,0.979695,0.974619,0.974619,193,197,192,197
46,NoOverlap,2,0.0,separated,False,False,non_hallucinated,0.985075,1.2375,1.0,1.0,1.0,1.0,0.840237,0.822485,0.822485,0.822485,139,169,142,169
47,LightOverlap,4,1.090274,mixed,True,False,diverse_hallucination,114.0,1.121212,1.0,2.0,1.0,1.0,1.0,0.988304,0.988304,1.0,169,171,-1,-1
48,MidOverlap,3,1.371283,mixed,True,False,diverse_hallucination,1.217391,1.060914,1.0,2.0,1.0,1.0,0.900498,0.99005,0.900498,0.900498,199,201,181,201
49,LightOverlap,4,1.360527,mixed,True,False,diverse_hallucination,123.0,1.267081,1.0,2.0,1.0,1.0,1.0,0.930233,0.930233,1.0,200,215,-1,-1
50,MidOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
51,LightOverlap,3,1.324496,mixed,True,False,diverse_hallucination,3.244444,1.267442,1.0,2.0,1.0,1.0,0.963855,1.036145,0.963855,0.963855,258,249,240,249
52,LightOverlap,3,0.94566,mixed,False,False,non_hallucinated,1.136842,1.404878,1.0,1.0,1.0,1.0,0.747126,0.752874,0.747126,0.747126,131,174,130,174
53,LightOverlap,2,1.080626,mixed,True,False,diverse_hallucination,85.0,1.07767,1.0,3.0,1.0,1.0,1.0,0.959184,0.959184,1.0,188,196,-1,-1
54,LightOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
55,MidOverlap,3,0.409073,mixed,True,False,diverse_hallucination,90.0,1.067901,1.0,1.333333,1.0,1.0,1.0,0.941748,0.941748,1.0,194,206,-1,-1
56,LightOverlap,2,0.0,separated,False,False,non_hallucinated,0.438596,1.094891,1.0,1.0,1.0,1.0,0.9163,0.863436,0.863436,0.863436,196,227,208,227
57,NoOverlap,2,1.183979,mixed,True,False,diverse_hallucination,74.0,0.957265,1.0,2.0,1.0,1.0,1.0,0.983696,0.983696,1.0,181,184,-1,-1
58,NoOverlap,1,0.0,separated,False,False,non_hallucinated,0.964286,1.265625,2.0,1.0,1.0,1.0,0.793548,0.819355,0.793548,0.819355,127,155,123,155
59,NoOverlap,2,0.325552,separated,False,False,non_hallucinated,84.0,1.308108,1.0,1.0,1.0,1.0,1.0,0.783439,0.783439,0.783439,123,157,-1,-1
60,NoOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
61,LightOverlap,2,0.0,separated,False,False,non_hallucinated,0.958763,1.285714,1.0,1.0,1.0,1.0,0.771277,0.771277,0.771277,0.771277,145,188,145,188
62,NoOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,0.775641,1.0,0.775641,1.0,-1,-1,121,156
63,LightOverlap,2,1.426068,mixed,True,False,diverse_hallucination,63.0,0.922535,1.0,3.0,1.0,1.0,1.0,0.985437,0.985437,1.0,203,206,-1,-1
64,NoOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
65,LightOverlap,3,1.313896,mixed,True,False,diverse_hallucination,149.0,1.974359,1.0,2.666667,1.0,1.0,1.0,1.13198,1.0,1.0,223,197,-1,-1
66,LightOverlap,3,0.0,separated,False,False,non_hallucinated,7.0,0.65625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,248,248,-1,-1
67,LightOverlap,2,0.0,separated,False,False,non_hallucinated,2.0,0.428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,226,226,-1,-1
68,MidOverlap,4,1.465538,mixed,True,False,diverse_hallucination,1.658537,1.115702,1.0,3.0,1.0,1.0,0.931034,0.968966,0.931034,0.931034,281,290,270,290
69,LightOverlap,2,0.967193,mixed,True,False,diverse_hallucination,1.113043,1.408537,1.0,1.5,1.0,1.0,0.856436,0.866337,0.856436,0.856436,175,202,173,202
70,MidOverlap,3,1.171037,mixed,True,False,diverse_hallucination,2.432432,0.926174,1.0,1.666667,1.0,1.0,0.989305,0.973262,0.973262,0.989305,182,187,185,187
71,LightOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1
72,MidOverlap,4,1.113908,mixed,True,False,diverse_hallucination,113.0,1.066298,1.0,1.75,1.0,1.0,1.0,0.955285,0.955285,1.0,235,246,-1,-1
73,LightOverlap,3,1.411981,mixed,True,False,diverse_hallucination,109.0,0.927632,1.0,4.333333,1.0,1.0,1.0,0.967391,0.967391,1.0,178,184,-1,-1
74,MidOverlap,4,1.384432,mixed,True,False,diverse_hallucination,100.0,1.027972,1.0,1.5,1.0,1.0,1.0,0.987342,0.987342,1.0,234,237,-1,-1
75,NoOverlap,2,0.0,separated,False,False,non_hallucinated,0.0,0.0,1.0,1.0,1.0,1.0,0.766667,1.0,0.766667,1.0,-1,-1,138,180
76,NoOverlap,1,0.940959,mixed,True,False,diverse_hallucination,72.0,1.021505,1.0,3.0,1.0,1.0,1.0,0.898551,0.898551,1.0,124,138,-1,-1
