window_id,overlap_label,num_speakers,n_nonempty_speakers,always_separated_cpwer,always_mixed_cpwer,router_v2_cpwer,oracle_best_cpwer,hallucinated,score_max,score_sum,score_mean,score_min
0,NoOverlap,6,6,2.333333,1.0,2.333333,1.0,True,1.553509,5.938267,0.989711,0.0
1,NoOverlap,1,0,1.0,2.0,1.0,1.0,False,0.0,0.0,0.0,0.0
2,NoOverlap,1,1,1.0,2.0,1.0,1.0,False,0.0,0.0,0.0,0.0
3,NoOverlap,1,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
4,NoOverlap,1,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
5,NoOverlap,1,1,2.0,1.0,2.0,1.0,True,0.490342,0.490342,0.490342,0.490342
6,NoOverlap,2,2,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
7,NoOverlap,1,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
8,NoOverlap,1,1,1.0,4.0,4.0,1.0,False,0.322757,0.322757,0.322757,0.322757
9,NoOverlap,1,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
10,NoOverlap,1,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
11,NoOverlap,1,1,3.0,1.0,1.0,1.0,True,0.563285,0.563285,0.563285,0.563285
12,NoOverlap,1,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
13,NoOverlap,1,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
14,NoOverlap,2,2,1.0,1.0,1.0,1.0,False,0.373609,0.373609,0.186805,0.0
15,NoOverlap,2,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
16,LightOverlap,2,2,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
17,MidOverlap,3,3,1.333333,1.0,1.0,1.0,True,0.630778,0.630778,0.210259,0.0
18,HeavyOverlap,3,3,1.666667,1.0,1.666667,1.0,True,1.240671,1.939213,0.646404,0.0
19,LightOverlap,2,2,1.0,1.0,1.0,1.0,False,0.863121,0.863121,0.43156,0.0
20,LightOverlap,2,2,2.0,1.0,1.0,1.0,True,1.298023,1.298023,0.649011,0.0
21,NoOverlap,2,1,1.5,1.0,1.0,1.0,True,0.503258,0.503258,0.503258,0.503258
22,NoOverlap,2,1,2.0,1.0,2.0,1.0,True,0.143726,0.143726,0.143726,0.143726
23,NoOverlap,2,2,3.0,1.0,1.0,1.0,True,1.216316,1.90203,0.951015,0.685715
24,LightOverlap,2,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
25,LightOverlap,2,2,1.5,1.0,1.0,1.0,True,1.086049,1.149116,0.574558,0.063068
26,NoOverlap,2,2,3.5,1.0,3.5,1.0,True,1.750916,1.750916,0.875458,0.0
27,NoOverlap,1,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
28,NoOverlap,3,2,2.0,1.0,1.0,1.0,True,0.785235,1.469274,0.734637,0.684038
29,LightOverlap,2,2,1.0,2.0,2.0,1.0,False,0.0,0.0,0.0,0.0
30,NoOverlap,1,1,2.0,1.0,2.0,1.0,True,0.322852,0.322852,0.322852,0.322852
31,NoOverlap,2,2,2.5,1.5,2.5,1.5,True,1.1635,2.317147,1.158574,1.153647
32,LightOverlap,3,2,1.333333,1.333333,1.333333,1.333333,True,1.31639,1.31639,0.658195,0.0
33,MidOverlap,3,2,2.666667,1.0,1.0,1.0,True,1.068306,1.068306,0.534153,0.0
34,LightOverlap,3,2,1.0,1.0,1.0,1.0,False,0.0,0.0,0.0,0.0
35,NoOverlap,1,1,2.0,1.0,1.0,1.0,True,1.265471,1.265471,1.265471,1.265471
