window_id,is_top10,is_mode_s,num_speakers,overlap_label,router_v2_method,total_cpwer,total_errors,total_length,meetval_errors,reconstructed_errors,errors_match_meetval,worst_speaker,worst_speaker_errors,worst_speaker_share,unmatched_hyp_errors,unmatched_hyp_share,per_speaker_summary
0,True,False,6,NoOverlap,separated,1.645455,181,110,181,181,True,001-M,89,0.491713,0,0.0,"001-M:err=89,len=82,cpwer=1.0854,share=0.4917; 002-M:err=5,len=5,cpwer=1.0000,share=0.0276; 003-F:err=7,len=5,cpwer=1.4000,share=0.0387; 004-F:err=32,len=6,cpwer=5.3333,share=0.1768; 005-F:err=21,len=6,cpwer=3.5000,share=0.1160; 006-F:err=27,len=6,cpwer=4.5000,share=0.1492"
23,True,False,2,NoOverlap,mixed,1.574713,137,87,137,137,True,005-F,86,0.627737,0,0.0,"005-F:err=86,len=81,cpwer=1.0617,share=0.6277; 006-F:err=51,len=6,cpwer=8.5000,share=0.3723"
65,True,False,3,LightOverlap,mixed,1.13198,223,197,223,223,True,001-M,106,0.475336,0,0.0,"001-M:err=106,len=116,cpwer=0.9138,share=0.4753; 005-F:err=42,len=2,cpwer=21.0000,share=0.1883; 006-F:err=75,len=79,cpwer=0.9494,share=0.3363"
51,True,False,3,LightOverlap,mixed,1.036145,258,249,258,258,True,001-M,215,0.833333,0,0.0,"001-M:err=215,len=226,cpwer=0.9513,share=0.8333; 004-F:err=37,len=21,cpwer=1.7619,share=0.1434; 005-F:err=6,len=2,cpwer=3.0000,share=0.0233"
21,True,False,2,NoOverlap,mixed,1.0,113,113,113,113,True,001-M,80,0.707965,0,0.0,"001-M:err=80,len=80,cpwer=1.0000,share=0.7080; 006-F:err=33,len=33,cpwer=1.0000,share=0.2920"
66,True,False,3,LightOverlap,mixed,1.0,248,248,248,248,True,001-M,125,0.504032,0,0.0,"001-M:err=125,len=125,cpwer=1.0000,share=0.5040; 005-F:err=105,len=105,cpwer=1.0000,share=0.4234; 006-F:err=18,len=18,cpwer=1.0000,share=0.0726"
67,True,False,2,LightOverlap,mixed,1.0,226,226,226,226,True,005-F,218,0.964602,0,0.0,"005-F:err=218,len=218,cpwer=1.0000,share=0.9646; 006-F:err=8,len=8,cpwer=1.0000,share=0.0354"
15,True,False,2,NoOverlap,mixed,0.994536,182,183,182,182,True,006-F,160,0.879121,0,0.0,"001-M:err=22,len=22,cpwer=1.0000,share=0.1209; 006-F:err=160,len=161,cpwer=0.9938,share=0.8791"
24,True,False,2,LightOverlap,mixed,0.99435,176,177,176,176,True,005-F,162,0.920455,0,0.0,"005-F:err=162,len=163,cpwer=0.9939,share=0.9205; 006-F:err=14,len=14,cpwer=1.0000,share=0.0795"
48,True,False,3,MidOverlap,mixed,0.99005,199,201,199,199,True,001-M,142,0.713568,0,0.0,"001-M:err=142,len=148,cpwer=0.9595,share=0.7136; 004-F:err=56,len=52,cpwer=1.0769,share=0.2814; 006-F:err=1,len=1,cpwer=1.0000,share=0.0050"
42,False,False,2,NoOverlap,separated,0.989011,180,182,180,180,True,001-M,116,0.644444,0,0.0,"001-M:err=116,len=118,cpwer=0.9831,share=0.6444; 004-F:err=64,len=64,cpwer=1.0000,share=0.3556"
47,False,False,4,LightOverlap,mixed,0.988304,169,171,169,169,True,001-M,131,0.775148,0,0.0,"001-M:err=131,len=135,cpwer=0.9704,share=0.7751; 003-F:err=6,len=6,cpwer=1.0000,share=0.0355; 005-F:err=12,len=10,cpwer=1.2000,share=0.0710; 006-F:err=20,len=20,cpwer=1.0000,share=0.1183"
74,False,False,4,MidOverlap,mixed,0.987342,234,237,234,234,True,001-M,159,0.679487,0,0.0,"001-M:err=159,len=166,cpwer=0.9578,share=0.6795; 004-F:err=19,len=19,cpwer=1.0000,share=0.0812; 005-F:err=18,len=18,cpwer=1.0000,share=0.0769; 006-F:err=38,len=34,cpwer=1.1176,share=0.1624"
63,False,False,2,LightOverlap,mixed,0.985437,203,206,203,203,True,001-M,125,0.615764,0,0.0,"001-M:err=125,len=128,cpwer=0.9766,share=0.6158; 002-M:err=78,len=78,cpwer=1.0000,share=0.3842"
57,False,False,2,NoOverlap,mixed,0.983696,181,184,181,181,True,001-M,135,0.745856,0,0.0,"001-M:err=135,len=137,cpwer=0.9854,share=0.7459; 002-M:err=46,len=47,cpwer=0.9787,share=0.2541"
45,False,False,4,LightOverlap,mixed,0.979695,193,197,193,193,True,001-M,78,0.404145,0,0.0,"001-M:err=78,len=80,cpwer=0.9750,share=0.4041; 003-F:err=60,len=61,cpwer=0.9836,share=0.3109; 004-F:err=45,len=46,cpwer=0.9783,share=0.2332; 005-F:err=10,len=10,cpwer=1.0000,share=0.0518"
34,False,False,3,LightOverlap,mixed,0.977901,177,181,177,177,True,004-F,98,0.553672,0,0.0,"001-M:err=67,len=67,cpwer=1.0000,share=0.3785; 004-F:err=98,len=102,cpwer=0.9608,share=0.5537; 005-F:err=12,len=12,cpwer=1.0000,share=0.0678"
33,False,False,3,MidOverlap,mixed,0.976077,204,209,204,204,True,001-M,108,0.529412,0,0.0,"001-M:err=108,len=111,cpwer=0.9730,share=0.5294; 005-F:err=71,len=73,cpwer=0.9726,share=0.3480; 006-F:err=25,len=25,cpwer=1.0000,share=0.1225"
70,False,False,3,MidOverlap,mixed,0.973262,182,187,182,182,True,005-F,125,0.686813,0,0.0,"001-M:err=16,len=16,cpwer=1.0000,share=0.0879; 004-F:err=41,len=41,cpwer=1.0000,share=0.2253; 005-F:err=125,len=130,cpwer=0.9615,share=0.6868"
68,False,False,4,MidOverlap,mixed,0.968966,281,290,281,281,True,005-F,159,0.565836,0,0.0,"001-M:err=95,len=99,cpwer=0.9596,share=0.3381; 004-F:err=25,len=25,cpwer=1.0000,share=0.0890; 005-F:err=159,len=164,cpwer=0.9695,share=0.5658; 006-F:err=2,len=2,cpwer=1.0000,share=0.0071"
31,False,False,2,NoOverlap,separated,0.968326,214,221,214,214,True,005-F,155,0.724299,0,0.0,"001-M:err=59,len=60,cpwer=0.9833,share=0.2757; 005-F:err=155,len=161,cpwer=0.9627,share=0.7243"
73,False,False,3,LightOverlap,mixed,0.967391,178,184,178,178,True,005-F,81,0.455056,0,0.0,"001-M:err=74,len=77,cpwer=0.9610,share=0.4157; 005-F:err=81,len=84,cpwer=0.9643,share=0.4551; 006-F:err=23,len=23,cpwer=1.0000,share=0.1292"
35,False,False,1,NoOverlap,mixed,0.962264,102,106,102,102,True,004-F,102,1.0,0,0.0,"004-F:err=102,len=106,cpwer=0.9623,share=1.0000"
16,False,False,2,LightOverlap,mixed,0.960396,194,202,194,194,True,006-F,104,0.536082,0,0.0,"001-M:err=90,len=78,cpwer=1.1538,share=0.4639; 006-F:err=104,len=124,cpwer=0.8387,share=0.5361"
53,False,False,2,LightOverlap,mixed,0.959184,188,196,188,188,True,001-M,154,0.819149,0,0.0,"001-M:err=154,len=162,cpwer=0.9506,share=0.8191; 006-F:err=34,len=34,cpwer=1.0000,share=0.1809"
41,False,False,2,NoOverlap,separated,0.955752,108,113,108,108,True,004-F,64,0.592593,0,0.0,"001-M:err=44,len=45,cpwer=0.9778,share=0.4074; 004-F:err=64,len=68,cpwer=0.9412,share=0.5926"
72,False,False,4,MidOverlap,mixed,0.955285,235,246,235,235,True,005-F,130,0.553191,0,0.0,"001-M:err=50,len=52,cpwer=0.9615,share=0.2128; 004-F:err=30,len=30,cpwer=1.0000,share=0.1277; 005-F:err=130,len=138,cpwer=0.9420,share=0.5532; 006-F:err=25,len=26,cpwer=0.9615,share=0.1064"
28,False,False,3,NoOverlap,mixed,0.953704,103,108,103,103,True,005-F,52,0.504854,0,0.0,"001-M:err=45,len=45,cpwer=1.0000,share=0.4369; 005-F:err=52,len=57,cpwer=0.9123,share=0.5049; 006-F:err=6,len=6,cpwer=1.0000,share=0.0583"
5,False,False,1,NoOverlap,separated,0.951389,137,144,137,137,True,001-M,137,1.0,0,0.0,"001-M:err=137,len=144,cpwer=0.9514,share=1.0000"
8,False,False,1,NoOverlap,mixed,0.95098,97,102,97,97,True,006-F,97,1.0,0,0.0,"006-F:err=97,len=102,cpwer=0.9510,share=1.0000"
55,False,False,3,MidOverlap,mixed,0.941748,194,206,194,194,True,005-F,128,0.659794,0,0.0,"001-M:err=60,len=62,cpwer=0.9677,share=0.3093; 005-F:err=128,len=139,cpwer=0.9209,share=0.6598; 006-F:err=6,len=5,cpwer=1.2000,share=0.0309"
43,False,False,3,MidOverlap,mixed,0.938967,200,213,200,200,True,001-M,97,0.485,0,0.0,"001-M:err=97,len=99,cpwer=0.9798,share=0.4850; 004-F:err=24,len=24,cpwer=1.0000,share=0.1200; 005-F:err=79,len=90,cpwer=0.8778,share=0.3950"
49,False,False,4,LightOverlap,mixed,0.930233,200,215,200,200,True,001-M,142,0.71,0,0.0,"001-M:err=142,len=169,cpwer=0.8402,share=0.7100; 004-F:err=9,len=10,cpwer=0.9000,share=0.0450; 005-F:err=16,len=16,cpwer=1.0000,share=0.0800; 006-F:err=33,len=20,cpwer=1.6500,share=0.1650"
19,False,False,2,LightOverlap,mixed,0.914692,193,211,193,193,True,001-M,179,0.927461,0,0.0,"001-M:err=179,len=208,cpwer=0.8606,share=0.9275; 006-F:err=14,len=3,cpwer=4.6667,share=0.0725"
18,False,False,3,HeavyOverlap,separated,0.901024,264,293,264,264,True,001-M,163,0.617424,0,0.0,"001-M:err=163,len=194,cpwer=0.8402,share=0.6174; 005-F:err=91,len=93,cpwer=0.9785,share=0.3447; 006-F:err=10,len=6,cpwer=1.6667,share=0.0379"
76,False,False,1,NoOverlap,mixed,0.898551,124,138,124,124,True,001-M,124,1.0,0,0.0,"001-M:err=124,len=138,cpwer=0.8986,share=1.0000"
20,False,False,2,LightOverlap,mixed,0.898305,159,177,159,159,True,001-M,92,0.578616,0,0.0,"001-M:err=92,len=109,cpwer=0.8440,share=0.5786; 006-F:err=67,len=68,cpwer=0.9853,share=0.4214"
17,False,False,3,MidOverlap,mixed,0.895683,249,278,249,249,True,001-M,122,0.48996,0,0.0,"001-M:err=122,len=148,cpwer=0.8243,share=0.4900; 005-F:err=107,len=109,cpwer=0.9817,share=0.4297; 006-F:err=20,len=21,cpwer=0.9524,share=0.0803"
29,False,False,2,LightOverlap,mixed,0.868056,125,144,125,125,True,001-M,89,0.712,0,0.0,"001-M:err=89,len=89,cpwer=1.0000,share=0.7120; 005-F:err=36,len=55,cpwer=0.6545,share=0.2880"
69,False,False,2,LightOverlap,mixed,0.866337,175,202,175,175,True,005-F,120,0.685714,0,0.0,"001-M:err=55,len=55,cpwer=1.0000,share=0.3143; 005-F:err=120,len=147,cpwer=0.8163,share=0.6857"
44,False,False,3,MidOverlap,mixed,0.866029,181,209,181,181,True,001-M,127,0.701657,0,0.0,"001-M:err=127,len=128,cpwer=0.9922,share=0.7017; 004-F:err=6,len=6,cpwer=1.0000,share=0.0331; 005-F:err=48,len=75,cpwer=0.6400,share=0.2652"
14,False,False,2,NoOverlap,separated,0.865922,155,179,155,155,True,006-F,154,0.993548,0,0.0,"001-M:err=1,len=1,cpwer=1.0000,share=0.0065; 006-F:err=154,len=178,cpwer=0.8652,share=0.9935"
56,False,False,2,LightOverlap,mixed,0.863436,196,227,196,196,True,001-M,168,0.857143,0,0.0,"001-M:err=168,len=168,cpwer=1.0000,share=0.8571; 005-F:err=28,len=59,cpwer=0.4746,share=0.1429"
26,False,False,2,NoOverlap,separated,0.856502,191,223,191,191,True,005-F,163,0.853403,0,0.0,"005-F:err=163,len=213,cpwer=0.7653,share=0.8534; 006-F:err=28,len=10,cpwer=2.8000,share=0.1466"
6,False,False,2,NoOverlap,separated,0.846626,138,163,138,138,True,006-F,130,0.942029,0,0.0,"001-M:err=8,len=8,cpwer=1.0000,share=0.0580; 006-F:err=130,len=155,cpwer=0.8387,share=0.9420"
46,False,False,2,NoOverlap,separated,0.822485,139,169,139,139,True,001-M,71,0.510791,0,0.0,"001-M:err=71,len=71,cpwer=1.0000,share=0.5108; 003-F:err=68,len=98,cpwer=0.6939,share=0.4892"
58,False,False,1,NoOverlap,separated,0.819355,127,155,127,127,True,002-M,127,1.0,0,0.0,"002-M:err=127,len=155,cpwer=0.8194,share=1.0000"
32,False,False,3,LightOverlap,mixed,0.809045,161,199,161,161,True,001-M,78,0.484472,0,0.0,"001-M:err=78,len=79,cpwer=0.9873,share=0.4845; 005-F:err=68,len=105,cpwer=0.6476,share=0.4224; 006-F:err=15,len=15,cpwer=1.0000,share=0.0932"
30,False,True,1,NoOverlap,separated,0.802691,179,223,179,179,True,005-F,179,1.0,0,0.0,"005-F:err=179,len=223,cpwer=0.8027,share=1.0000"
38,False,False,1,NoOverlap,separated,0.798561,111,139,111,111,True,004-F,111,1.0,0,0.0,"004-F:err=111,len=139,cpwer=0.7986,share=1.0000"
59,False,False,2,NoOverlap,mixed,0.783439,123,157,123,123,True,002-M,87,0.707317,0,0.0,"001-M:err=36,len=36,cpwer=1.0000,share=0.2927; 002-M:err=87,len=121,cpwer=0.7190,share=0.7073"
61,False,False,2,LightOverlap,mixed,0.771277,145,188,145,145,True,001-M,141,0.972414,0,0.0,"001-M:err=141,len=184,cpwer=0.7663,share=0.9724; 002-M:err=4,len=4,cpwer=1.0000,share=0.0276"
52,False,False,3,LightOverlap,mixed,0.752874,131,174,131,131,True,001-M,114,0.870229,0,0.0,"001-M:err=114,len=159,cpwer=0.7170,share=0.8702; 005-F:err=6,len=6,cpwer=1.0000,share=0.0458; 006-F:err=11,len=9,cpwer=1.2222,share=0.0840"
27,False,False,1,NoOverlap,separated,0.696203,165,237,165,165,True,005-F,165,1.0,0,0.0,"005-F:err=165,len=237,cpwer=0.6962,share=1.0000"
11,False,False,1,NoOverlap,mixed,0.693989,127,183,127,127,True,006-F,127,1.0,0,0.0,"006-F:err=127,len=183,cpwer=0.6940,share=1.0000"
12,False,False,1,NoOverlap,separated,0.691781,101,146,101,101,True,006-F,101,1.0,0,0.0,"006-F:err=101,len=146,cpwer=0.6918,share=1.0000"
39,False,False,1,NoOverlap,separated,0.674419,58,86,58,58,True,004-F,58,1.0,0,0.0,"004-F:err=58,len=86,cpwer=0.6744,share=1.0000"
36,False,False,1,NoOverlap,separated,0.672515,115,171,115,115,True,004-F,115,1.0,0,0.0,"004-F:err=115,len=171,cpwer=0.6725,share=1.0000"
3,False,False,1,NoOverlap,separated,0.67052,116,173,116,116,True,001-M,116,1.0,0,0.0,"001-M:err=116,len=173,cpwer=0.6705,share=1.0000"
25,False,False,2,LightOverlap,mixed,0.663866,158,238,158,158,True,005-F,132,0.835443,0,0.0,"005-F:err=132,len=214,cpwer=0.6168,share=0.8354; 006-F:err=26,len=24,cpwer=1.0833,share=0.1646"
2,False,False,1,NoOverlap,separated,0.663793,77,116,77,77,True,001-M,77,1.0,0,0.0,"001-M:err=77,len=116,cpwer=0.6638,share=1.0000"
37,False,False,1,NoOverlap,separated,0.626984,79,126,79,79,True,004-F,79,1.0,0,0.0,"004-F:err=79,len=126,cpwer=0.6270,share=1.0000"
40,False,False,1,NoOverlap,separated,0.5,39,78,39,39,True,004-F,39,1.0,0,0.0,"004-F:err=39,len=78,cpwer=0.5000,share=1.0000"
22,False,True,2,NoOverlap,separated,0.491525,58,118,58,58,True,005-F,57,0.982759,0,0.0,"005-F:err=57,len=117,cpwer=0.4872,share=0.9828; 006-F:err=1,len=1,cpwer=1.0000,share=0.0172"
