pair_id,con,pro,overlap_ratio,cer_tiny,cer_base,cr_tiny,runtime_tiny,runtime_base,cer_cascade_0.0,escalate_frac_0.0,runtime_cascade_0.0,cer_cascade_0.5,escalate_frac_0.5,runtime_cascade_0.5,cer_cascade_0.7,escalate_frac_0.7,runtime_cascade_0.7,cer_cascade_0.8,escalate_frac_0.8,runtime_cascade_0.8,cer_cascade_0.9,escalate_frac_0.9,runtime_cascade_0.9,cer_cascade_1.0,escalate_frac_1.0,runtime_cascade_1.0
0,con_001.wav,pro_001.wav,0.0,0.34375,0.3125,0.8226,0.518,0.502,0.3125,1.0,0.518,0.3125,1.0,0.518,0.3125,1.0,0.518,0.3125,1.0,0.518,0.34375,0.0,0.518,0.34375,0.0,0.518
0,con_001.wav,pro_001.wav,0.15,0.34375,0.3125,0.8226,0.259,0.503,0.3125,1.0,0.259,0.3125,1.0,0.259,0.3125,1.0,0.259,0.3125,1.0,0.259,0.34375,0.0,0.259,0.34375,0.0,0.259
0,con_001.wav,pro_001.wav,0.35,0.34375,0.3125,0.8226,0.249,0.479,0.3125,1.0,0.249,0.3125,1.0,0.249,0.3125,1.0,0.249,0.3125,1.0,0.249,0.34375,0.0,0.249,0.34375,0.0,0.249
0,con_001.wav,pro_001.wav,0.6,0.34375,0.3125,0.8226,0.242,0.477,0.3125,1.0,0.242,0.3125,1.0,0.242,0.3125,1.0,0.242,0.3125,1.0,0.242,0.34375,0.0,0.242,0.34375,0.0,0.242
0,con_001.wav,pro_001.wav,0.9,0.34375,0.3125,0.8226,0.246,0.478,0.3125,1.0,0.246,0.3125,1.0,0.246,0.3125,1.0,0.246,0.3125,1.0,0.246,0.34375,0.0,0.246,0.34375,0.0,0.246
1,con_002.wav,pro_008.wav,0.0,0.380952,0.142857,0.8824,0.21,0.481,0.142857,1.0,0.21,0.142857,1.0,0.21,0.142857,1.0,0.21,0.190476,0.5,0.21,0.380952,0.0,0.21,0.380952,0.0,0.21
1,con_002.wav,pro_008.wav,0.15,0.380952,0.142857,0.8824,0.231,0.423,0.142857,1.0,0.231,0.142857,1.0,0.231,0.142857,1.0,0.231,0.190476,0.5,0.231,0.380952,0.0,0.231,0.380952,0.0,0.231
1,con_002.wav,pro_008.wav,0.35,0.380952,0.142857,0.8824,0.243,0.445,0.142857,1.0,0.243,0.142857,1.0,0.243,0.142857,1.0,0.243,0.190476,0.5,0.243,0.380952,0.0,0.243,0.380952,0.0,0.243
1,con_002.wav,pro_008.wav,0.6,0.380952,0.142857,0.8824,0.213,0.44,0.142857,1.0,0.213,0.142857,1.0,0.213,0.142857,1.0,0.213,0.190476,0.5,0.213,0.380952,0.0,0.213,0.380952,0.0,0.213
1,con_002.wav,pro_008.wav,0.9,0.380952,0.142857,0.8824,0.205,0.429,0.142857,1.0,0.205,0.142857,1.0,0.205,0.142857,1.0,0.205,0.190476,0.5,0.205,0.380952,0.0,0.205,0.380952,0.0,0.205
