config,overlap_ratio,n,mean_delta_cer,median_delta_cer,ci_lo,ci_hi,mean_cer_mixed,mean_cer_sep,median_cer_sep,tail_rate_sep,tail_rate_mixed,sep_helps_frac
greedy,0.0,20,-0.340656,-0.087122,-0.93452,-0.008977,0.41776,0.758415,0.480031,0.05,0.0,0.25
greedy,0.05,20,-0.579226,-0.033334,-1.721261,0.028017,0.423288,1.002513,0.440171,0.05,0.0,0.35
greedy,0.1,20,-0.942917,0.0,-2.265001,0.013837,0.457993,1.400911,0.51,0.1,0.0,0.3
greedy,0.15,20,-0.597085,0.0,-1.753573,0.033501,0.449899,1.046984,0.477272,0.1,0.0,0.45
greedy,0.2,20,0.698183,0.0,-0.043428,2.128658,1.16046,0.462277,0.440171,0.0,0.05,0.45
greedy,0.25,20,0.056012,0.042728,0.002432,0.115942,0.492168,0.436155,0.42735,0.0,0.0,0.55
greedy,0.3,20,0.712694,0.02381,-0.040742,2.153891,1.19447,0.481777,0.51,0.0,0.05,0.5
greedy,0.35,20,0.302627,0.06624,-0.02916,0.903577,0.781347,0.47872,0.51,0.0,0.05,0.55
greedy,0.4,20,0.758163,0.076705,-0.010067,2.210324,1.217642,0.459479,0.51,0.0,0.05,0.65
greedy,0.45,20,0.088869,0.06111,0.019013,0.163285,0.552074,0.463206,0.473389,0.0,0.0,0.6
greedy,0.5,20,0.110345,0.05214,0.019913,0.199344,0.568524,0.458179,0.5,0.0,0.0,0.6
greedy,0.6,20,0.177669,0.179488,0.094131,0.260034,0.621241,0.443573,0.472222,0.0,0.0,0.7
greedy,0.7,20,0.208997,0.195238,0.118004,0.296319,0.672472,0.463475,0.526611,0.0,0.0,0.8
greedy,0.8,20,0.244233,0.222222,0.158241,0.333278,0.696198,0.451964,0.458334,0.0,0.0,0.9
greedy,0.9,20,0.289959,0.265385,0.219633,0.362238,0.754422,0.464463,0.49359,0.0,0.0,1.0
fallback,0.0,20,-0.2632,-0.115131,-0.418515,-0.131813,0.421927,0.685127,0.539683,0.1,0.0,0.05
fallback,0.05,20,-0.204151,-0.078789,-0.436102,-0.020657,0.414954,0.619106,0.480769,0.1,0.0,0.3
fallback,0.1,20,-0.308429,-0.095238,-0.945698,0.118912,0.52466,0.833089,0.594872,0.05,0.05,0.2
fallback,0.15,20,-0.217301,-0.133333,-0.450889,-0.002975,0.474899,0.6922,0.535714,0.15,0.0,0.35
fallback,0.2,20,-0.017203,-0.056891,-0.081449,0.052014,0.460461,0.477663,0.472222,0.0,0.0,0.35
fallback,0.25,20,-0.134586,0.0,-0.306996,0.009549,0.496825,0.631411,0.527778,0.15,0.0,0.3
fallback,0.3,20,-0.274869,-0.151515,-0.590049,-0.050687,0.523604,0.798472,0.585777,0.15,0.0,0.3
fallback,0.35,20,0.176788,-0.073318,-0.171482,0.648006,0.813218,0.63643,0.563334,0.1,0.1,0.4
fallback,0.4,20,-0.052271,0.114584,-0.469763,0.237807,0.621465,0.673736,0.531136,0.05,0.05,0.55
fallback,0.45,20,0.063728,-0.02,-0.055026,0.202464,0.637378,0.57365,0.581989,0.05,0.1,0.45
fallback,0.5,20,0.638425,0.197995,0.125285,1.464149,1.132645,0.49422,0.537778,0.0,0.1,0.75
fallback,0.6,20,0.133985,0.125,0.02396,0.236258,0.660192,0.526206,0.513158,0.05,0.0,0.65
fallback,0.7,20,0.312393,0.183494,0.022861,0.748008,0.874589,0.562196,0.539394,0.05,0.05,0.65
fallback,0.8,20,0.299308,0.31909,0.18433,0.414613,0.817794,0.518487,0.5,0.05,0.0,0.9
fallback,0.9,20,0.302455,0.291228,0.227688,0.378408,0.825153,0.522698,0.546921,0.0,0.05,1.0
