resample,threshold,oob_cpwer,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
0,4.44,1.662626,30,4,0.38961,0.133333
1,4.69,1.461877,31,4,0.402597,0.129032
2,4.69,1.447601,33,4,0.428571,0.121212
3,4.1,1.206187,30,9,0.38961,0.3
4,7.63,1.363501,28,1,0.363636,0.035714
5,7.63,1.486111,30,0,0.38961,0.0
6,6.74,1.488075,27,1,0.350649,0.037037
7,7.63,1.657407,27,0,0.350649,0.0
8,4.69,1.458698,26,4,0.337662,0.153846
9,4.26,1.552557,28,7,0.363636,0.25
10,7.63,1.560345,29,0,0.376623,0.0
11,4.44,1.537388,27,4,0.350649,0.148148
12,4.44,1.336174,32,6,0.415584,0.1875
13,4.69,1.445286,27,2,0.350649,0.074074
14,4.25,1.086513,28,9,0.363636,0.321429
15,4.87,1.500455,25,1,0.324675,0.04
16,6.74,1.506531,29,2,0.376623,0.068966
17,4.87,1.449155,26,1,0.337662,0.038462
18,7.63,1.422806,29,1,0.376623,0.034483
19,6.74,1.779283,26,1,0.337662,0.038462
20,4.87,1.476641,24,2,0.311688,0.083333
21,4.44,1.458586,30,6,0.38961,0.2
22,8.53,1.599359,26,0,0.337662,0.0
23,7.63,1.62,25,0,0.324675,0.0
24,4.87,1.763187,27,2,0.350649,0.074074
25,4.69,1.554497,31,2,0.402597,0.064516
26,4.44,1.165685,27,5,0.350649,0.185185
27,8.53,1.658602,31,0,0.402597,0.0
28,4.87,1.508164,29,2,0.376623,0.068966
29,7.63,1.743248,23,1,0.298701,0.043478
30,4.44,1.22567,26,3,0.337662,0.115385
31,4.44,1.54343,29,4,0.376623,0.137931
32,7.63,1.491771,29,1,0.376623,0.034483
33,4.87,1.508861,28,3,0.363636,0.107143
34,8.53,1.7,30,0,0.38961,0.0
35,8.53,1.756667,25,0,0.324675,0.0
36,8.53,1.658854,32,0,0.415584,0.0
37,8.53,1.66369,28,0,0.363636,0.0
38,4.28,1.545847,29,6,0.376623,0.206897
39,4.87,1.604232,29,2,0.376623,0.068966
40,6.74,1.479572,28,1,0.363636,0.035714
41,4.69,1.277273,30,4,0.38961,0.133333
42,4.28,1.740073,29,4,0.376623,0.137931
43,4.87,1.627545,32,3,0.415584,0.09375
44,6.74,1.765152,22,0,0.285714,0.0
45,4.44,1.553504,28,3,0.363636,0.107143
46,8.53,1.526786,28,0,0.363636,0.0
47,4.28,1.334167,25,5,0.324675,0.2
48,6.74,1.488898,29,1,0.376623,0.034483
49,4.87,1.68493,28,1,0.363636,0.035714
50,6.74,1.722696,24,1,0.311688,0.041667
51,6.74,1.621334,31,1,0.402597,0.032258
52,4.87,1.462413,26,2,0.337662,0.076923
53,6.74,1.6875,28,0,0.363636,0.0
54,4.44,1.374094,23,5,0.298701,0.217391
55,4.44,1.754293,30,3,0.38961,0.1
56,4.87,1.693788,25,1,0.324675,0.04
57,6.74,1.692045,30,1,0.38961,0.033333
58,6.74,1.54,25,0,0.324675,0.0
59,7.63,1.427419,31,0,0.402597,0.0
60,6.74,1.492981,34,1,0.441558,0.029412
61,4.87,1.484242,25,2,0.324675,0.08
62,8.53,1.486559,31,0,0.402597,0.0
63,7.63,1.423077,26,0,0.337662,0.0
64,4.69,1.391523,29,4,0.376623,0.137931
65,7.63,1.503946,24,1,0.311688,0.041667
66,6.74,1.551719,26,1,0.337662,0.038462
67,6.74,1.540965,27,2,0.350649,0.074074
68,6.74,1.276078,26,1,0.337662,0.038462
69,4.69,1.562626,30,3,0.38961,0.1
70,4.69,1.508207,33,4,0.428571,0.121212
71,6.74,1.819444,24,0,0.311688,0.0
72,4.28,1.685315,26,5,0.337662,0.192308
73,6.74,1.631358,28,1,0.363636,0.035714
74,7.63,1.621429,35,0,0.454545,0.0
75,8.53,1.489583,32,0,0.415584,0.0
76,7.63,1.70977,29,0,0.376623,0.0
77,6.74,1.653226,31,0,0.402597,0.0
78,6.74,1.391798,23,1,0.298701,0.043478
79,7.63,1.948718,26,0,0.337662,0.0
80,7.63,1.493333,25,0,0.324675,0.0
81,4.26,1.542727,25,6,0.324675,0.24
82,4.28,1.6175,25,5,0.324675,0.2
83,4.28,1.527339,23,4,0.298701,0.173913
84,7.63,1.726667,25,0,0.324675,0.0
85,7.63,1.746795,26,0,0.337662,0.0
86,4.44,1.44467,28,3,0.363636,0.107143
87,7.63,1.380236,34,1,0.441558,0.029412
88,6.74,1.564394,34,2,0.441558,0.058824
89,8.53,1.535354,33,0,0.428571,0.0
90,4.44,1.326515,30,4,0.38961,0.133333
91,4.69,1.397166,27,4,0.350649,0.148148
92,6.74,1.677576,25,2,0.324675,0.08
93,6.74,1.704545,22,0,0.285714,0.0
94,8.53,1.703704,27,0,0.350649,0.0
95,4.87,1.565814,32,2,0.415584,0.0625
96,4.28,1.467425,25,6,0.324675,0.24
97,6.74,1.623333,25,0,0.324675,0.0
98,4.44,1.674648,28,4,0.363636,0.142857
99,4.28,1.447754,29,5,0.376623,0.172414
100,7.63,1.516667,25,0,0.324675,0.0
101,6.74,1.561728,27,0,0.350649,0.0
102,7.63,1.589286,28,0,0.363636,0.0
103,7.63,1.532258,31,0,0.402597,0.0
104,4.69,1.415137,26,6,0.337662,0.230769
105,4.44,1.320427,27,5,0.350649,0.185185
106,7.63,1.708333,30,0,0.38961,0.0
107,4.28,1.227968,30,9,0.38961,0.3
108,7.63,1.731481,27,0,0.350649,0.0
109,4.87,1.53327,30,3,0.38961,0.1
110,4.28,1.504672,30,4,0.38961,0.133333
111,8.53,1.692308,26,0,0.337662,0.0
112,7.63,1.561111,30,0,0.38961,0.0
113,7.63,1.635802,27,0,0.350649,0.0
114,4.44,1.476894,30,4,0.38961,0.133333
115,4.87,1.674587,33,1,0.428571,0.030303
116,4.87,1.540128,32,3,0.415584,0.09375
117,6.74,1.613501,28,1,0.363636,0.035714
118,4.28,1.480079,27,4,0.350649,0.148148
119,7.63,1.485119,28,0,0.363636,0.0
120,8.53,1.336207,29,0,0.376623,0.0
121,4.87,1.46568,33,3,0.428571,0.090909
122,4.44,1.548693,31,4,0.402597,0.129032
123,4.87,1.616793,27,2,0.350649,0.074074
124,6.74,1.614938,32,1,0.415584,0.03125
125,4.44,1.526845,23,3,0.298701,0.130435
126,6.74,1.414096,28,1,0.363636,0.035714
127,8.53,1.677778,30,0,0.38961,0.0
128,6.74,1.591501,32,1,0.415584,0.03125
129,7.63,1.567901,27,0,0.350649,0.0
130,8.53,1.563889,30,0,0.38961,0.0
131,4.44,1.40347,31,6,0.402597,0.193548
132,4.87,1.542872,33,3,0.428571,0.090909
133,4.28,1.55303,28,5,0.363636,0.178571
134,6.74,1.641196,29,1,0.376623,0.034483
135,4.44,1.589218,28,3,0.363636,0.107143
136,6.74,1.378642,26,1,0.337662,0.038462
137,4.87,1.497334,27,1,0.350649,0.037037
138,6.74,1.571413,34,1,0.441558,0.029412
139,4.69,1.432588,32,4,0.415584,0.125
140,4.69,1.366816,28,4,0.363636,0.142857
141,4.87,1.625758,30,2,0.38961,0.066667
142,7.63,1.607639,24,0,0.311688,0.0
143,4.44,1.372475,27,4,0.350649,0.148148
144,6.74,1.565657,27,2,0.350649,0.074074
145,4.44,1.569839,32,5,0.415584,0.15625
146,4.87,1.474638,23,0,0.298701,0.0
147,4.87,1.517619,33,3,0.428571,0.090909
148,7.63,1.432796,31,0,0.402597,0.0
149,4.69,1.583672,28,3,0.363636,0.107143
150,6.74,1.581497,33,2,0.428571,0.060606
151,8.53,1.403333,25,0,0.324675,0.0
152,4.69,1.571824,26,3,0.337662,0.115385
153,8.53,1.5625,36,0,0.467532,0.0
154,4.28,1.371408,29,5,0.376623,0.172414
155,4.69,1.485457,28,4,0.363636,0.142857
156,6.74,1.653157,30,1,0.38961,0.033333
157,4.87,1.497001,24,1,0.311688,0.041667
158,4.87,1.566027,29,3,0.376623,0.103448
159,4.44,1.613907,28,2,0.363636,0.071429
160,8.53,1.608333,30,0,0.38961,0.0
161,4.69,1.343913,29,4,0.376623,0.137931
162,4.44,1.678504,28,3,0.363636,0.107143
163,7.63,1.580668,27,1,0.350649,0.037037
164,8.53,1.516667,30,0,0.38961,0.0
165,8.53,1.641667,30,0,0.38961,0.0
166,8.53,1.696237,31,0,0.402597,0.0
167,6.74,1.820455,25,1,0.324675,0.04
168,6.74,1.569357,29,1,0.376623,0.034483
169,4.28,1.549874,30,6,0.38961,0.2
170,4.87,1.633712,30,1,0.38961,0.033333
