window_id,num_speakers,active_speakers,empty_speakers,silence_fraction,length_ratio,runtime_ratio,always_separated_cpwer,always_mixed_cpwer,hallucinated,mode_s,overlap_label
0,6,6,0,0.0,6.689655172413793,5.709,2.3333333333333335,1.0,True,False,NoOverlap
1,1,0,1,1.0,0.0,0.391,1.0,2.0,False,False,NoOverlap
2,1,1,0,0.0,0.9166666666666666,0.535,1.0,2.0,False,False,NoOverlap
3,1,1,0,0.0,1.2162162162162162,1.069,1.0,1.0,False,False,NoOverlap
4,1,0,1,1.0,0.0,0.958,1.0,1.0,False,False,NoOverlap
5,1,1,0,0.0,0.42857142857142855,7.636,2.0,1.0,True,False,NoOverlap
6,2,2,0,0.0,1.025974025974026,1.994,1.0,1.0,False,False,NoOverlap
7,1,0,1,1.0,0.0,7.431,1.0,1.0,False,False,NoOverlap
8,1,1,0,0.0,0.7083333333333334,1.001,1.0,4.0,False,False,NoOverlap
9,1,0,1,1.0,0.0,1.502,1.0,1.0,False,False,NoOverlap
10,1,0,1,1.0,0.0,1.164,1.0,1.0,False,False,NoOverlap
11,1,1,0,0.0,0.0,2.549,3.0,1.0,True,False,NoOverlap
12,1,1,0,0.0,1.0,0.623,1.0,1.0,False,False,NoOverlap
13,1,0,1,1.0,0.0,0.775,1.0,1.0,False,False,NoOverlap
14,2,2,0,0.0,0.9911504424778761,2.75,1.0,1.0,False,False,NoOverlap
15,2,1,1,0.5,0.0,6.965,1.0,1.0,False,False,NoOverlap
16,2,2,0,0.0,0.0,3.395,1.0,1.0,False,False,LightOverlap
17,3,3,0,0.0,0.0,12.15,1.3333333333333333,1.0,True,False,MidOverlap
18,3,3,0,0.0,0.0,6.905,1.6666666666666667,1.0,True,False,HeavyOverlap
19,2,2,0,0.0,1.173913043478261,3.348,1.0,1.0,False,False,LightOverlap
20,2,2,0,0.0,0.0,3.859,2.0,1.0,True,False,LightOverlap
21,2,1,1,0.5,0.0,10.01,1.5,1.0,True,False,NoOverlap
22,2,1,1,0.5,1.0208333333333333,7.052,2.0,1.0,True,True,NoOverlap
23,2,2,0,0.0,0.0,33.378,3.0,1.0,True,False,NoOverlap
24,2,1,1,0.5,0.0,1.799,1.0,1.0,False,False,LightOverlap
25,2,2,0,0.0,1.087248322147651,1.512,1.5,1.0,True,False,LightOverlap
26,2,2,0,0.0,1.264,4.069,3.5,1.0,True,False,NoOverlap
27,1,1,0,0.0,1.0142857142857142,1.43,1.0,1.0,False,False,NoOverlap
28,3,2,1,0.3333333333333333,0.0,25.096,2.0,1.0,True,False,NoOverlap
29,2,2,0,0.0,0.410958904109589,2.153,1.0,2.0,False,False,LightOverlap
30,1,1,0,0.0,1.0266666666666666,0.991,2.0,1.0,True,True,NoOverlap
31,2,2,0,0.0,1.2222222222222223,1.778,2.5,1.5,True,False,NoOverlap
32,3,2,1,0.3333333333333333,3.3214285714285716,1.53,1.3333333333333333,1.3333333333333333,True,False,LightOverlap
33,3,2,1,0.3333333333333333,1.6307692307692307,14.312,2.6666666666666665,1.0,True,False,MidOverlap
34,3,2,1,0.3333333333333333,0.7127659574468085,4.2,1.0,1.0,False,False,LightOverlap
35,1,1,0,0.0,0.0,5.178,2.0,1.0,True,False,NoOverlap
36,1,1,0,0.0,1.0941176470588236,1.096,1.0,1.0,False,False,NoOverlap
37,1,1,0,0.0,1.15625,0.422,1.0,1.0,False,False,NoOverlap
38,1,1,0,0.0,0.9746835443037974,0.459,1.0,1.0,False,False,NoOverlap
39,1,1,0,0.0,0.9827586206896551,0.95,1.0,1.0,False,False,NoOverlap
40,1,1,0,0.0,0.9384615384615385,0.124,1.0,6.0,False,False,NoOverlap
41,2,2,0,0.0,0.8571428571428571,8.463,1.5,1.0,True,False,NoOverlap
42,2,1,1,0.5,0.7297297297297297,0.821,3.0,1.5,True,False,NoOverlap
43,3,3,0,0.0,1.6635514018691588,4.751,1.6666666666666667,1.0,True,False,MidOverlap
44,3,2,1,0.3333333333333333,1.0294117647058822,8.796,1.0,1.0,False,False,MidOverlap
45,4,3,1,0.25,0.9918032786885246,2.848,3.25,1.0,True,False,LightOverlap
46,2,1,1,0.5,0.9850746268656716,1.503,1.0,1.0,False,False,NoOverlap
47,4,3,1,0.25,0.0,20.658,2.0,1.0,True,False,LightOverlap
48,3,2,1,0.3333333333333333,1.2327586206896552,3.129,2.0,1.0,True,False,MidOverlap
49,4,4,0,0.0,0.0,9.746,2.0,1.0,True,False,LightOverlap
50,2,0,2,1.0,0.0,5.817,1.0,1.0,False,False,MidOverlap
51,3,3,0,0.0,3.311111111111111,3.388,2.0,1.0,True,False,LightOverlap
52,3,3,0,0.0,1.1368421052631579,4.657,1.0,1.0,False,False,LightOverlap
53,2,1,1,0.5,0.0,10.978,3.0,1.0,True,False,LightOverlap
54,2,0,2,1.0,0.0,10.448,1.0,1.0,False,False,LightOverlap
55,3,3,0,0.0,0.0,13.1,1.3333333333333333,1.0,True,False,MidOverlap
56,2,1,1,0.5,0.43478260869565216,0.241,1.0,1.0,False,False,LightOverlap
57,2,2,0,0.0,0.0,17.901,2.0,1.0,True,False,NoOverlap
58,1,1,0,0.0,0.9529411764705882,0.455,1.0,2.0,False,False,NoOverlap
59,2,1,1,0.5,0.0,5.207,1.0,1.0,False,False,NoOverlap
60,2,0,2,1.0,0.0,1.214,1.0,1.0,False,False,NoOverlap
61,2,1,1,0.5,0.9587628865979382,1.163,1.0,1.0,False,False,LightOverlap
62,2,0,2,1.0,0.0,2.156,1.0,1.0,False,False,NoOverlap
63,2,1,1,0.5,0.0,3.737,3.0,1.0,True,False,LightOverlap
64,2,0,2,1.0,0.0,1.606,1.0,1.0,False,False,NoOverlap
65,3,3,0,0.0,0.0,23.93,2.6666666666666665,1.0,True,False,LightOverlap
66,3,1,2,0.6666666666666666,0.0,4.663,1.0,1.0,False,False,LightOverlap
67,2,1,1,0.5,0.0,5.538,1.0,1.0,False,False,LightOverlap
68,4,4,0,0.0,1.7349397590361446,7.848,3.0,1.0,True,False,MidOverlap
69,2,2,0,0.0,1.1120689655172413,6.697,1.5,1.0,True,False,LightOverlap
70,3,2,1,0.3333333333333333,2.358974358974359,1.538,1.6666666666666667,1.0,True,False,MidOverlap
71,2,0,2,1.0,0.0,1.456,1.0,1.0,False,False,LightOverlap
72,4,3,1,0.25,0.0,17.772,1.75,1.0,True,False,MidOverlap
73,3,3,0,0.0,0.0,5.84,4.333333333333333,1.0,True,False,LightOverlap
74,4,3,1,0.25,0.0,20.317,1.5,1.0,True,False,MidOverlap
75,2,0,2,1.0,0.0,0.174,1.0,1.0,False,False,NoOverlap
76,1,1,0,0.0,0.0,6.106,3.0,1.0,True,False,NoOverlap
