window_id,overlap_label,num_speakers,lang_id_entropy,corrected_decision,always_mixed_cpwer,always_separated_cpwer,corrected_cpwer,oracle_best_cpwer,is_tied
0,NoOverlap,6,1.553509,mixed,1.0,2.333333,1.0,1.0,False
1,NoOverlap,1,0.0,separated,2.0,1.0,1.0,1.0,False
2,NoOverlap,1,0.0,separated,2.0,1.0,1.0,1.0,False
3,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
4,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
5,NoOverlap,1,0.490342,mixed,1.0,2.0,1.0,1.0,False
6,NoOverlap,2,0.0,separated,1.0,1.0,1.0,1.0,True
7,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
8,NoOverlap,1,0.322757,separated,4.0,1.0,1.0,1.0,False
9,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
10,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
11,NoOverlap,1,0.563285,mixed,1.0,3.0,1.0,1.0,False
12,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
13,NoOverlap,1,0.0,separated,1.0,1.0,1.0,1.0,True
14,NoOverlap,2,0.373609,separated,1.0,1.0,1.0,1.0,True
15,NoOverlap,2,0.0,separated,1.0,1.0,1.0,1.0,True
16,LightOverlap,2,0.0,separated,1.0,1.0,1.0,1.0,True
17,MidOverlap,3,0.630778,mixed,1.0,1.333333,1.0,1.0,False
18,HeavyOverlap,3,1.240671,mixed,1.0,1.666667,1.0,1.0,False
19,LightOverlap,2,0.863121,mixed,1.0,1.0,1.0,1.0,True
20,LightOverlap,2,1.298023,mixed,1.0,2.0,1.0,1.0,False
21,NoOverlap,2,0.503258,mixed,1.0,1.5,1.0,1.0,False
22,NoOverlap,2,0.143726,separated,1.0,2.0,2.0,1.0,False
23,NoOverlap,2,1.216316,mixed,1.0,3.0,1.0,1.0,False
24,LightOverlap,2,0.0,separated,1.0,1.0,1.0,1.0,True
25,LightOverlap,2,1.086049,mixed,1.0,1.5,1.0,1.0,False
