case_id,audio_type,path,duration_sec,sample_rate,channels,overlap_level
NoOverlap,mixed,resources/mixed_audio/NoOverlap.wav,55.651,16000,1,0
NoOverlap,separated_spk1,resources/separated_audio/NoOverlap_spk1.wav,55.651,16000,1,0
NoOverlap,separated_spk2,resources/separated_audio/NoOverlap_spk2.wav,55.651,16000,1,0
LightOverlap,mixed,resources/mixed_audio/LightOverlap.wav,52.351,16000,1,1
LightOverlap,separated_spk1,resources/separated_audio/LightOverlap_spk1.wav,52.351,16000,1,1
LightOverlap,separated_spk2,resources/separated_audio/LightOverlap_spk2.wav,52.351,16000,1,1
MidOverlap,mixed,resources/mixed_audio/MidOverlap.wav,47.951,16000,1,2
MidOverlap,separated_spk1,resources/separated_audio/MidOverlap_spk1.wav,47.951,16000,1,2
MidOverlap,separated_spk2,resources/separated_audio/MidOverlap_spk2.wav,47.951,16000,1,2
HeavyOverlap,mixed,resources/mixed_audio/HeavyOverlap.wav,42.451,16000,1,3
HeavyOverlap,separated_spk1,resources/separated_audio/HeavyOverlap_spk1.wav,42.451,16000,1,3
HeavyOverlap,separated_spk2,resources/separated_audio/HeavyOverlap_spk2.wav,42.451,16000,1,3
OppositeOverlap,mixed,resources/mixed_audio/OppositeOverlap.wav,35.973,16000,1,4
OppositeOverlap,separated_spk1,resources/separated_audio/OppositeOverlap_spk1.wav,35.973,16000,1,4
OppositeOverlap,separated_spk2,resources/separated_audio/OppositeOverlap_spk2.wav,35.973,16000,1,4
con,snippet,resources/snippets/con_001.wav,3.775,16000,1,-1
con,snippet,resources/snippets/con_002.wav,2.921,16000,1,-1
con,snippet,resources/snippets/con_003.wav,1.897,16000,1,-1
con,snippet,resources/snippets/con_004.wav,1.897,16000,1,-1
con,snippet,resources/snippets/con_005.wav,2.153,16000,1,-1
con,snippet,resources/snippets/con_006.wav,2.153,16000,1,-1
con,snippet,resources/snippets/con_007.wav,1.556,16000,1,-1
con,snippet,resources/snippets/con_008.wav,1.641,16000,1,-1
con,snippet,resources/snippets/con_009.wav,1.385,16000,1,-1
con,snippet,resources/snippets/con_010.wav,2.409,16000,1,-1
con,snippet,resources/snippets/con_011.wav,3.604,16000,1,-1
pro,snippet,resources/snippets/pro_001.wav,3.092,16000,1,-1
pro,snippet,resources/snippets/pro_002.wav,1.3,16000,1,-1
pro,snippet,resources/snippets/pro_003.wav,2.58,16000,1,-1
pro,snippet,resources/snippets/pro_004.wav,4.457,16000,1,-1
pro,snippet,resources/snippets/pro_005.wav,2.324,16000,1,-1
pro,snippet,resources/snippets/pro_006.wav,2.068,16000,1,-1
pro,snippet,resources/snippets/pro_007.wav,2.58,16000,1,-1
pro,snippet,resources/snippets/pro_008.wav,2.58,16000,1,-1
pro,snippet,resources/snippets/pro_009.wav,3.263,16000,1,-1
pro,snippet,resources/snippets/pro_010.wav,3.007,16000,1,-1
pro,snippet,resources/snippets/pro_011.wav,3.007,16000,1,-1
pro,snippet,resources/snippets/pro_012.wav,2.068,16000,1,-1
pro,snippet,resources/snippets/pro_013.wav,2.068,16000,1,-1
pro,snippet,resources/snippets/pro_014.wav,1.727,16000,1,-1
pro,snippet,resources/snippets/pro_015.wav,1.215,16000,1,-1
