sample_id,tier,overlap_level,overlap_ratio,con_source,pro_source,mixed_path,spk1_path,spk2_path,reference_path,mixed_duration_sec,sample_rate,reference_status,silver_reference_path,placeholder_reference_path,overlap_level_numeric
SyntheticNoOverlap_01,SyntheticNoOverlap,SyntheticNoOverlap,0.0,con_001.wav,pro_001.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_01_mixed.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_01_spk1.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_01_spk2.wav,resources/synthetic_overlap/references/SyntheticNoOverlap_01_silver_reference.json,7.0667,16000,silver_reference,resources/synthetic_overlap/references/SyntheticNoOverlap_01_silver_reference.json,resources/synthetic_overlap/references/SyntheticNoOverlap_01.json,0
SyntheticNoOverlap_02,SyntheticNoOverlap,SyntheticNoOverlap,0.0,con_002.wav,pro_003.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_02_mixed.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_02_spk1.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_02_spk2.wav,resources/synthetic_overlap/references/SyntheticNoOverlap_02_silver_reference.json,5.8013,16000,silver_reference,resources/synthetic_overlap/references/SyntheticNoOverlap_02_silver_reference.json,resources/synthetic_overlap/references/SyntheticNoOverlap_02.json,0
SyntheticNoOverlap_03,SyntheticNoOverlap,SyntheticNoOverlap,0.0,con_003.wav,pro_005.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_03_mixed.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_03_spk1.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_03_spk2.wav,resources/synthetic_overlap/references/SyntheticNoOverlap_03_silver_reference.json,4.6213,16000,silver_reference,resources/synthetic_overlap/references/SyntheticNoOverlap_03_silver_reference.json,resources/synthetic_overlap/references/SyntheticNoOverlap_03.json,0
SyntheticNoOverlap_04,SyntheticNoOverlap,SyntheticNoOverlap,0.0,con_004.wav,pro_007.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_04_mixed.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_04_spk1.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_04_spk2.wav,resources/synthetic_overlap/references/SyntheticNoOverlap_04_silver_reference.json,4.9773,16000,silver_reference,resources/synthetic_overlap/references/SyntheticNoOverlap_04_silver_reference.json,resources/synthetic_overlap/references/SyntheticNoOverlap_04.json,0
SyntheticNoOverlap_05,SyntheticNoOverlap,SyntheticNoOverlap,0.0,con_005.wav,pro_009.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_05_mixed.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_05_spk1.wav,resources/synthetic_overlap/audio/SyntheticNoOverlap/SyntheticNoOverlap_05_spk2.wav,resources/synthetic_overlap/references/SyntheticNoOverlap_05_silver_reference.json,6.016,16000,silver_reference,resources/synthetic_overlap/references/SyntheticNoOverlap_05_silver_reference.json,resources/synthetic_overlap/references/SyntheticNoOverlap_05.json,0
SyntheticLightOverlap_01,SyntheticLightOverlap,SyntheticLightOverlap,0.1,con_001.wav,pro_001.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_01_mixed.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_01_spk1.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_01_spk2.wav,resources/synthetic_overlap/references/SyntheticLightOverlap_01_silver_reference.json,6.5575,16000,silver_reference,resources/synthetic_overlap/references/SyntheticLightOverlap_01_silver_reference.json,resources/synthetic_overlap/references/SyntheticLightOverlap_01.json,1
SyntheticLightOverlap_02,SyntheticLightOverlap,SyntheticLightOverlap,0.125,con_002.wav,pro_003.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_02_mixed.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_02_spk1.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_02_spk2.wav,resources/synthetic_overlap/references/SyntheticLightOverlap_02_silver_reference.json,5.1788,16000,silver_reference,resources/synthetic_overlap/references/SyntheticLightOverlap_02_silver_reference.json,resources/synthetic_overlap/references/SyntheticLightOverlap_02.json,1
SyntheticLightOverlap_03,SyntheticLightOverlap,SyntheticLightOverlap,0.15,con_003.wav,pro_005.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_03_mixed.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_03_spk1.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_03_spk2.wav,resources/synthetic_overlap/references/SyntheticLightOverlap_03_silver_reference.json,3.9367,16000,silver_reference,resources/synthetic_overlap/references/SyntheticLightOverlap_03_silver_reference.json,resources/synthetic_overlap/references/SyntheticLightOverlap_03.json,1
SyntheticLightOverlap_04,SyntheticLightOverlap,SyntheticLightOverlap,0.175,con_004.wav,pro_007.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_04_mixed.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_04_spk1.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_04_spk2.wav,resources/synthetic_overlap/references/SyntheticLightOverlap_04_silver_reference.json,4.1453,16000,silver_reference,resources/synthetic_overlap/references/SyntheticLightOverlap_04_silver_reference.json,resources/synthetic_overlap/references/SyntheticLightOverlap_04.json,1
SyntheticLightOverlap_05,SyntheticLightOverlap,SyntheticLightOverlap,0.2,con_005.wav,pro_009.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_05_mixed.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_05_spk1.wav,resources/synthetic_overlap/audio/SyntheticLightOverlap/SyntheticLightOverlap_05_spk2.wav,resources/synthetic_overlap/references/SyntheticLightOverlap_05_silver_reference.json,4.9853,16000,silver_reference,resources/synthetic_overlap/references/SyntheticLightOverlap_05_silver_reference.json,resources/synthetic_overlap/references/SyntheticLightOverlap_05.json,1
