tier,strategy,average_cer,sample_count
ALL,fixed_mixed_whisper,0.311442,25
ALL,fixed_separated_whisper,0.380701,25
ALL,fixed_separated_whisper_cleaned,0.203778,25
ALL,oracle_best,0.082239,25
ALL,rule_router,0.350902,25
SyntheticHeavyOverlap,fixed_mixed_whisper,0.455293,5
SyntheticHeavyOverlap,fixed_separated_whisper,0.26253,5
SyntheticHeavyOverlap,fixed_separated_whisper_cleaned,0.26253,5
SyntheticHeavyOverlap,oracle_best,0.116376,5
SyntheticHeavyOverlap,rule_router,0.26253,5
SyntheticLightOverlap,fixed_mixed_whisper,0.118353,5
SyntheticLightOverlap,fixed_separated_whisper,0.214838,5
SyntheticLightOverlap,fixed_separated_whisper_cleaned,0.214838,5
SyntheticLightOverlap,oracle_best,0.060991,5
SyntheticLightOverlap,rule_router,0.118353,5
SyntheticMidOverlap,fixed_mixed_whisper,0.210019,5
SyntheticMidOverlap,fixed_separated_whisper,0.26253,5
SyntheticMidOverlap,fixed_separated_whisper_cleaned,0.26253,5
SyntheticMidOverlap,oracle_best,0.100991,5
SyntheticMidOverlap,rule_router,0.210019,5
SyntheticNoOverlap,fixed_mixed_whisper,0.185019,5
SyntheticNoOverlap,fixed_separated_whisper,1.101761,5
SyntheticNoOverlap,fixed_separated_whisper_cleaned,0.217145,5
SyntheticNoOverlap,oracle_best,0.070991,5
SyntheticNoOverlap,rule_router,1.101761,5
SyntheticOppositeOverlap,fixed_mixed_whisper,0.588526,5
SyntheticOppositeOverlap,fixed_separated_whisper,0.061846,5
SyntheticOppositeOverlap,fixed_separated_whisper_cleaned,0.061846,5
SyntheticOppositeOverlap,oracle_best,0.061846,5
SyntheticOppositeOverlap,rule_router,0.061846,5
