sample_id,tier,split,overlap_level,overlap_ratio,con_source,pro_source,mixed_path,spk1_path,spk2_path,reference_path,mixed_duration_sec,sample_rate,reference_status,silver_reference_path,placeholder_reference_path,overlap_level_numeric
SyntheticNoOverlap_dev_01,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_001.wav,pro_001.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_01_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,7.0667,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01.json,0
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_002.wav,pro_003.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_02_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_02_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,5.7224,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02.json,0
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_003.wav,pro_005.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_03_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_03_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,4.4634,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03.json,0
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_004.wav,pro_007.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_04_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_04_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,4.7405,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04.json,0
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_005.wav,pro_009.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_05_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_05_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,5.7002,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05.json,0
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_006.wav,pro_011.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_06_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_06_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,5.4653,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06.json,0
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_007.wav,pro_013.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_07_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_07_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,3.9503,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07.json,0
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_008.wav,pro_015.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_08_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_08_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,3.2034,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08.json,0
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_009.wav,pro_002.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_09_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_09_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,3.0537,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09.json,0
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,SyntheticNoOverlap,0.0,con_010.wav,pro_004.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_10_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_10_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_10_spk2.wav,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,7.2561,16000,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10.json,0
