scope,strategy,average_cer,sample_count
ALL,fixed_mixed_whisper,0.465715,100
ALL,fixed_separated_whisper,0.401869,100
ALL,fixed_separated_whisper_cleaned,0.179021,100
ALL,oracle_best,0.111828,100
ALL,v1_overlap_only,0.390725,100
ALL,v2_full_features,0.285187,100
DEV,fixed_mixed_whisper,0.4867,50
DEV,fixed_separated_whisper,0.367072,50
DEV,fixed_separated_whisper_cleaned,0.172804,50
DEV,oracle_best,0.108476,50
DEV,v1_overlap_only,0.4201,50
DEV,v2_full_features,0.235049,50
TEST,fixed_mixed_whisper,0.44473,50
TEST,fixed_separated_whisper,0.436666,50
TEST,fixed_separated_whisper_cleaned,0.185238,50
TEST,oracle_best,0.115181,50
TEST,v1_overlap_only,0.36135,50
TEST,v2_full_features,0.335326,50
SyntheticHeavyOverlap,fixed_mixed_whisper,0.740711,20
SyntheticHeavyOverlap,fixed_separated_whisper,0.288975,20
SyntheticHeavyOverlap,fixed_separated_whisper_cleaned,0.173261,20
SyntheticHeavyOverlap,oracle_best,0.129898,20
SyntheticHeavyOverlap,v1_overlap_only,0.288975,20
SyntheticHeavyOverlap,v2_full_features,0.288975,20
SyntheticLightOverlap,fixed_mixed_whisper,0.26131,20
SyntheticLightOverlap,fixed_separated_whisper,0.346618,20
SyntheticLightOverlap,fixed_separated_whisper_cleaned,0.163761,20
SyntheticLightOverlap,oracle_best,0.063109,20
SyntheticLightOverlap,v1_overlap_only,0.26131,20
SyntheticLightOverlap,v2_full_features,0.26131,20
SyntheticMidOverlap,fixed_mixed_whisper,0.405127,20
SyntheticMidOverlap,fixed_separated_whisper,0.375541,20
SyntheticMidOverlap,fixed_separated_whisper_cleaned,0.179826,20
SyntheticMidOverlap,oracle_best,0.108403,20
SyntheticMidOverlap,v1_overlap_only,0.405127,20
SyntheticMidOverlap,v2_full_features,0.405127,20
SyntheticNoOverlap,fixed_mixed_whisper,0.298837,20
SyntheticNoOverlap,fixed_separated_whisper,0.826526,20
SyntheticNoOverlap,fixed_separated_whisper_cleaned,0.20657,20
SyntheticNoOverlap,oracle_best,0.099889,20
SyntheticNoOverlap,v1_overlap_only,0.826526,20
SyntheticNoOverlap,v2_full_features,0.298837,20
SyntheticOppositeOverlap,fixed_mixed_whisper,0.622589,20
SyntheticOppositeOverlap,fixed_separated_whisper,0.171687,20
SyntheticOppositeOverlap,fixed_separated_whisper_cleaned,0.171687,20
SyntheticOppositeOverlap,oracle_best,0.157841,20
SyntheticOppositeOverlap,v1_overlap_only,0.171687,20
SyntheticOppositeOverlap,v2_full_features,0.171687,20
