case_id,overlap_level,tier_1_method,tier_1_cer,tier_1_cost,risk_level,risk_reasons,escalated_to_tier_2,tier_2_method,tier_2_cer,tier_2_cost,escalated_to_tier_3,tier_3_method,tier_3_cer,tier_3_cost,final_tier,final_method,final_cer,final_cost,total_cost,oracle_cer,notes,split,tier_name
SyntheticNoOverlap_01,0,mixed_whisper_small,0.03125,1.0,medium,length_ratio=1.73>1.35,True,mixed_whisper_medium,0.025,3.0,True,mixed_whisper_large,0.020313,8.0,3,mixed_whisper_large,0.020313,12.0,12.0,0.0,rule=t1:no_overlap_short->mixed; risk=medium; t2=yes; t3=yes,,SyntheticNoOverlap
SyntheticNoOverlap_02,0,mixed_whisper_small,0.153846,1.0,high,length_ratio=17.10>1.35; dup_removed=25>=10; runtime_ratio=5.87>1.80; segment_ratio=14.00>2.0,True,mixed_whisper_medium,0.146154,3.0,True,mixed_whisper_large,0.146154,8.0,3,mixed_whisper_large,0.146154,12.0,12.0,0.153846,rule=t1:no_overlap_high_dup->mixed; risk=high; t2=yes; t3=yes,,SyntheticNoOverlap
SyntheticNoOverlap_03,0,mixed_whisper_small,0.2,1.0,medium,length_ratio=2.71>1.35,True,mixed_whisper_medium,0.16,3.0,True,mixed_whisper_large,0.13,8.0,3,mixed_whisper_large,0.13,12.0,12.0,0.05,rule=t1:no_overlap_short->mixed; risk=medium; t2=yes; t3=yes,,SyntheticNoOverlap
SyntheticNoOverlap_04,0,mixed_whisper_small,0.5,1.0,medium,length_ratio=4.30>1.35; runtime_ratio=2.03>1.80,True,mixed_whisper_medium,0.4,3.0,True,mixed_whisper_large,0.325,8.0,3,mixed_whisper_large,0.325,12.0,12.0,0.111111,rule=t1:no_overlap_short->mixed; risk=medium; t2=yes; t3=yes,,SyntheticNoOverlap
SyntheticNoOverlap_05,0,mixed_whisper_small,0.04,1.0,medium,length_ratio=1.92>1.35,True,mixed_whisper_medium,0.038,3.0,True,mixed_whisper_large,0.038,8.0,3,mixed_whisper_large,0.038,12.0,12.0,0.04,rule=t1:no_overlap_short->mixed; risk=medium; t2=yes; t3=yes,,SyntheticNoOverlap
SyntheticLightOverlap_01,1,mixed_whisper_small,0.03125,1.0,high,length_ratio=1.81>1.35; overlap_level=1 (separation-hurts zone),True,mixed_whisper_medium,0.025,3.0,True,mixed_whisper_large,0.020313,8.0,3,mixed_whisper_large,0.020313,12.0,12.0,0.0,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticLightOverlap
SyntheticLightOverlap_02,1,mixed_whisper_small,0.153846,1.0,high,length_ratio=1.50>1.35; overlap_level=1 (separation-hurts zone),True,mixed_whisper_medium,0.146154,3.0,True,mixed_whisper_large,0.146154,8.0,3,mixed_whisper_large,0.146154,12.0,12.0,0.153846,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticLightOverlap
SyntheticLightOverlap_03,1,mixed_whisper_small,0.2,1.0,high,length_ratio=2.00>1.35; overlap_level=1 (separation-hurts zone),True,mixed_whisper_medium,0.16,3.0,True,mixed_whisper_large,0.13,8.0,3,mixed_whisper_large,0.13,12.0,12.0,0.0,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticLightOverlap
SyntheticLightOverlap_04,1,mixed_whisper_small,0.166667,1.0,high,length_ratio=2.26>1.35; overlap_level=1 (separation-hurts zone),True,mixed_whisper_medium,0.133334,3.0,True,mixed_whisper_large,0.108334,8.0,3,mixed_whisper_large,0.108334,12.0,12.0,0.111111,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticLightOverlap
SyntheticLightOverlap_05,1,mixed_whisper_small,0.04,1.0,high,length_ratio=2.08>1.35; overlap_level=1 (separation-hurts zone),True,mixed_whisper_medium,0.038,3.0,True,mixed_whisper_large,0.038,8.0,3,mixed_whisper_large,0.038,12.0,12.0,0.04,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticLightOverlap
SyntheticMidOverlap_01,2,mixed_whisper_small,0.15625,1.0,high,length_ratio=1.87>1.35; overlap_level=2 (separation-hurts zone),True,mixed_whisper_medium,0.125,3.0,True,mixed_whisper_large,0.101562,8.0,3,mixed_whisper_large,0.101562,12.0,12.0,0.0,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticMidOverlap
SyntheticMidOverlap_02,2,mixed_whisper_small,0.153846,1.0,high,length_ratio=1.70>1.35; overlap_level=2 (separation-hurts zone),True,mixed_whisper_medium,0.146154,3.0,True,mixed_whisper_large,0.146154,8.0,3,mixed_whisper_large,0.146154,12.0,12.0,0.153846,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticMidOverlap
SyntheticMidOverlap_03,2,mixed_whisper_small,0.2,1.0,high,length_ratio=1.86>1.35; overlap_level=2 (separation-hurts zone),True,mixed_whisper_medium,0.19,3.0,True,mixed_whisper_large,0.19,8.0,3,mixed_whisper_large,0.19,12.0,12.0,0.2,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticMidOverlap
SyntheticMidOverlap_04,2,mixed_whisper_small,0.5,1.0,high,length_ratio=3.91>1.35; overlap_level=2 (separation-hurts zone),True,mixed_whisper_medium,0.4,3.0,True,mixed_whisper_large,0.325,8.0,3,mixed_whisper_large,0.325,12.0,12.0,0.111111,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticMidOverlap
SyntheticMidOverlap_05,2,mixed_whisper_small,0.04,1.0,high,length_ratio=2.00>1.35; overlap_level=2 (separation-hurts zone),True,mixed_whisper_medium,0.038,3.0,True,mixed_whisper_large,0.038,8.0,3,mixed_whisper_large,0.038,12.0,12.0,0.04,rule=t1:light_mid_overlap->mixed; risk=high; t2=yes; t3=yes,,SyntheticMidOverlap
SyntheticHeavyOverlap_01,3,separated_whisper_small,0.0,2.0,medium,length_ratio=2.15>1.35,True,separated_whisper_medium,0.0,6.0,True,separated_whisper_large,0.0,16.0,3,separated_whisper_large,0.0,24.0,24.0,0.0,rule=t1:heavy_opposite->separated; risk=medium; t2=yes; t3=yes,,SyntheticHeavyOverlap
SyntheticHeavyOverlap_02,3,separated_whisper_small,0.961538,2.0,medium,length_ratio=1.89>1.35,True,separated_whisper_medium,0.76923,6.0,True,separated_whisper_large,0.625,16.0,3,separated_whisper_large,0.625,24.0,24.0,0.230769,rule=t1:heavy_opposite->separated; risk=medium; t2=yes; t3=yes,,SyntheticHeavyOverlap
SyntheticHeavyOverlap_03,3,separated_whisper_small,0.2,2.0,medium,length_ratio=2.56>1.35,True,separated_whisper_medium,0.19,6.0,True,separated_whisper_large,0.19,16.0,3,separated_whisper_large,0.19,24.0,24.0,0.2,rule=t1:heavy_opposite->separated; risk=medium; t2=yes; t3=yes,,SyntheticHeavyOverlap
